Step,Time,Finf
0,0,0.01
1,1,0.0124611
2,2,0.0152825
3,3,0.0183776
4,4,0.0215788
5,5,0.0246306
6,6,0.027209
7,7,0.0289745
8,8,0.0296524
9,9,0.0291149
10,10,0.0274264
11,11,0.0248283
12,12,0.0216678
13,13,0.0183057
14,14,0.0150418
15,15,0.0120786
16,16,0.00952054
17,17,0.00739513
18,18,0.00567961
19,19,0.00432495
20,20,0.00327269
21,21,0.00246533
22,22,0.00185152
23,23,0.00138798
24,24,0.00103964
25,25,0.000778781
26,26,0.000583901
27,27,0.000438538
28,28,0.000330202
29,29,0.000249481
30,30,0.000189319
31,31,0.000144444
32,32,0.000110928
33,33,8.58495e-05
34,34,6.70392e-05
35,35,5.28868e-05
36,36,4.21982e-05
37,37,3.40883e-05
38,38,2.79011e-05
39,39,2.31502e-05
40,40,1.94749e-05
41,41,1.66077e-05
42,42,1.43482e-05
43,43,1.25509e-05
44,44,1.11083e-05
45,45,9.93617e-06
46,46,8.9734e-06
47,47,8.17447e-06
48,48,7.50524e-06
49,49,6.94009e-06
50,50,6.45968e-06
51,51,6.0494e-06
52,52,5.69815e-06
53,53,5.39749e-06
54,54,5.14094e-06
55,55,4.92357e-06
56,56,4.74156e-06
57,57,4.59202e-06
58,58,4.47271e-06
59,59,4.38199e-06
60,60,4.3186e-06
61,61,4.28169e-06
62,62,4.27069e-06
63,63,4.2853e-06
64,64,4.32514e-06
65,65,4.38927e-06
66,66,4.47934e-06
67,67,4.59829e-06
68,68,4.74444e-06
69,69,4.9185e-06
70,70,5.12157e-06
71,71,5.35489e-06
72,72,5.6199e-06
73,73,5.91823e-06
74,74,6.25169e-06
75,75,6.62232e-06
76,76,7.03236e-06
77,77,7.48428e-06
78,78,7.9808e-06
79,79,8.52493e-06
80,80,9.11991e-06
81,81,9.76933e-06
82,82,1.04771e-05
83,83,1.12473e-05
84,84,1.20848e-05
85,85,1.29943e-05
86,86,1.39814e-05
87,87,1.5052e-05
88,88,1.62122e-05
89,89,1.74691e-05
90,90,1.88301e-05
91,91,2.03031e-05
92,92,2.18969e-05
93,93,2.36209e-05
94,94,2.5485e-05
