Step,Time,Norm
0,0,1
1,1,0.99991
2,2,0.999772
3,3,0.999569
4,4,0.999283
5,5,0.998902
6,6,0.998425
7,7,0.997867
8,8,0.997265
9,9,0.996667
10,10,0.99612
11,11,0.995659
12,12,0.995299
13,13,0.995037
14,14,0.994857
15,15,0.99474
16,16,0.994666
17,17,0.994621
18,18,0.994594
19,19,0.994579
20,20,0.99457
21,21,0.994565
22,22,0.994562
23,23,0.99456
24,24,0.994559
25,25,0.994559
26,26,0.994558
27,27,0.994558
28,28,0.994558
29,29,0.994558
30,30,0.994558
31,31,0.994558
32,32,0.994558
33,33,0.994558
34,34,0.994558
35,35,0.994558
36,36,0.994558
37,37,0.994558
38,38,0.994558
39,39,0.994558
40,40,0.994558
41,41,0.994558
42,42,0.994558
43,43,0.994558
44,44,0.994558
45,45,0.994558
46,46,0.994558
47,47,0.994558
48,48,0.994558
49,49,0.994558
50,50,0.994558
51,51,0.994558
52,52,0.994558
53,53,0.994558
54,54,0.994558
55,55,0.994558
56,56,0.994558
57,57,0.994558
58,58,0.994558
59,59,0.994558
60,60,0.994558
61,61,0.994558
62,62,0.994558
63,63,0.994558
64,64,0.994558
65,65,0.994558
66,66,0.994558
67,67,0.994558
68,68,0.994558
69,69,0.994558
70,70,0.994558
71,71,0.994558
72,72,0.994558
73,73,0.994558
74,74,0.994558
75,75,0.994558
76,76,0.994558
77,77,0.994558
78,78,0.994558
79,79,0.994558
80,80,0.994558
81,81,0.994558
82,82,0.994558
83,83,0.994558
84,84,0.994558
85,85,0.994558
86,86,0.994558
87,87,0.994558
88,88,0.994558
89,89,0.994558
90,90,0.994558
91,91,0.994558
92,92,0.994558
93,93,0.994558
94,94,0.994558
95,95,0.994558
96,96,0.994558
97,97,0.994558
98,98,0.994558
99,99,0.994558
100,100,0.994558
101,101,0.994558
102,102,0.994558
103,103,0.994558
104,104,0.994558
105,105,0.994558
106,106,0.994558
107,107,0.994558
108,108,0.994558
109,109,0.994558
110,110,0.994558
111,111,0.994558
112,112,0.994558
113,113,0.994558
114,114,0.994558
115,115,0.994558
116,116,0.994558
117,117,0.994558
118,118,0.994558
119,119,0.994558
120,120,0.994558
121,121,0.994558
122,122,0.994558
123,123,0.994558
124,124,0.994558
125,125,0.994558
126,126,0.994558
127,127,0.994558
128,128,0.994558
129,129,0.994558
130,130,0.994557
131,131,0.994557
132,132,0.994557
133,133,0.994557
134,134,0.994557
135,135,0.994557
136,136,0.994557
137,137,0.994557
138,138,0.994556
139,139,0.994556
140,140,0.994556
141,141,0.994555
142,142,0.994555
143,143,0.994555
144,144,0.994554
145,145,0.994553
146,146,0.994553
147,147,0.994552
148,148,0.994551
149,149,0.99455
150,150,0.994549
151,151,0.994547
152,152,0.994546
153,153,0.994544
154,154,0.994542
155,155,0.99454
156,156,0.994537
157,157,0.994534
158,158,0.994531
159,159,0.994527
160,160,0.994522
161,161,0.994517
162,162,0.994511
163,163,0.994505
164,164,0.994497
165,165,0.994488
166,166,0.994478
167,167,0.994467
168,168,0.994454
169,169,0.99444
170,170,0.994424
171,171,0.994406
172,172,0.994386
173,173,0.994365
174,174,0.994341
175,175,0.994316
176,176,0.99429
177,177,0.994263
178,178,0.994234
179,179,0.994206
180,180,0.994178
181,181,0.99415
182,182,0.994123
183,183,0.994098
184,184,0.994074
185,185,0.994052
186,186,0.994032
187,187,0.994014
188,188,0.993999
189,189,0.993985
190,190,0.993973
191,191,0.993963
192,192,0.993954
193,193,0.993946
194,194,0.99394
195,195,0.993934
196,196,0.99393
197,197,0.993926
198,198,0.993922
199,199,0.993919
200,200,0.993916
201,201,0.993914
202,202,0.993912
203,203,0.99391
204,204,0.993908
205,205,0.993906
206,206,0.993905
207,207,0.993903
208,208,0.993902
209,209,0.993901
210,210,0.993899
211,211,0.993898
212,212,0.993897
213,213,0.993896
214,214,0.993895
215,215,0.993894
216,216,0.993893
217,217,0.993892
218,218,0.99389
219,219,0.993889
220,220,0.993888
221,221,0.993887
222,222,0.993886
223,223,0.993885
224,224,0.993884
225,225,0.993883
226,226,0.993882
227,227,0.993881
228,228,0.993879
229,229,0.993878
230,230,0.993877
231,231,0.993875
232,232,0.993873
233,233,0.993872
234,234,0.99387
235,235,0.993868
236,236,0.993866
237,237,0.993863
238,238,0.993861
239,239,0.993858
240,240,0.993854
241,241,0.993851
242,242,0.993847
243,243,0.993843
244,244,0.993838
245,245,0.993833
246,246,0.993828
247,247,0.993822
248,248,0.993816
249,249,0.99381
250,250,0.993803
251,251,0.993796
252,252,0.993788
253,253,0.99378
254,254,0.993772
255,255,0.993764
256,256,0.993756
257,257,0.993748
258,258,0.993739
259,259,0.993731
260,260,0.993722
