id,parent_id,depth,creation_step,i,r,is_infected
0,-1,0,0,0,0.0369841,0
1,0,1,0,0,0,0
2,1,2,0,0,0,0
3,2,3,0,0,0,0
4,3,4,0,0,0,0
5,4,5,0,0,0,0
6,5,6,0,0,0,0
7,6,7,0,0,0,0
8,7,8,0,0,0,0
9,8,9,0,0,0,0
10,9,10,0,0,0,0
11,10,11,0,0,0,0
12,11,12,0,0,0,0
13,12,13,0,0,0,0
14,13,14,0,0,0.0186898,0
15,14,15,1,0,0.00175914,0
16,14,15,2,0,0.00177828,0
17,15,16,17,0,0.000110011,0
18,16,16,21,0,0.000190587,0
19,16,16,25,0,0.000122186,0
20,15,16,33,0,0.00011975,0
21,18,17,61,0,0.000648529,0
22,19,17,71,0,0.000155453,0
23,18,17,76,0,0.000123142,0
24,20,17,79,0,5.72909e-05,0
25,17,17,80,0,3.24858e-05,0
26,19,17,80,0,2.1766e-05,0
27,20,17,85,0,6.71632e-05,0
28,21,18,96,0,0.00347501,0
29,17,17,98,0,6.3983e-05,0
30,21,18,113,0,0.00163289,0
31,22,18,148,0,0.000619195,0
32,22,18,184,0,7.21823e-06,0
33,23,18,194,0,9.34131e-06,0
34,27,18,203,0,4.31049e-06,0
35,29,18,205,0,0.00021981,0
36,23,18,208,0,1.014e-05,0
37,28,19,208,0,0.00622214,0
38,28,19,209,0,0.00288916,0
39,29,18,209,0,6.68536e-05,0
40,24,18,217,0,3.21014e-06,0
41,27,18,228,0,1.74687e-06,0
42,24,18,237,0,1.94895e-05,0
43,30,19,240,0,0.000412317,0
44,30,19,246,0,0.00147628,0
45,25,18,254,0,2.27351e-06,0
46,31,19,271,0,0.000185978,0
47,37,20,275,0,0.00349859,0
48,31,19,276,0,0.000144258,0
49,35,19,282,0,2.25025e-05,0
50,37,20,282,0,0.0038812,0
51,38,20,287,0,0.000538717,0
52,26,18,288,0,1.30789e-08,0
53,35,19,294,0,3.62942e-05,0
54,44,20,301,0,0.00016669,0
55,44,20,303,0,0.000440717,0
56,25,18,304,0,5.07141e-06,0
57,38,20,306,0,0.000204108,0
58,26,18,310,0,5.94312e-09,0
59,39,19,311,0,1.20065e-06,0
60,47,21,323,0,0.000623302,0
61,47,21,324,0,0.00037736,0
62,39,19,326,0,8.56338e-06,0
63,43,20,327,0,3.21235e-05,0
64,50,21,328,0,0.00122731,0
65,43,20,333,0,3.89979e-05,0
66,48,20,337,0,3.62368e-05,0
67,42,19,346,0,1.92222e-09,0
68,46,20,347,0,2.29371e-05,0
69,50,21,347,0,0.000530344,0
70,46,20,349,0,1.52994e-05,0
71,48,20,358,0,7.05058e-06,0
72,51,21,364,0,3.43696e-05,0
73,55,21,364,0,3.01435e-05,0
74,42,19,368,0,1.1715e-06,0
75,53,20,369,0,1.50222e-06,0
76,53,20,371,0,1.03083e-06,0
77,51,21,372,0,8.28034e-05,0
78,49,20,374,0,2.26067e-06,0
79,55,21,375,0,5.24369e-05,0
80,64,22,376,0,0.000400437,0
81,57,21,378,0,1.79091e-05,0
82,54,21,379,0,9.2414e-06,0
83,36,19,382,0,3.85852e-07,0
84,54,21,385,0,1.40329e-05,0
85,33,19,386,0,1.9282e-09,0
86,65,21,386,0,1.68021e-06,0
87,33,19,387,0,3.21475e-09,0
88,64,22,387,0,0.00119077,0
89,69,22,387,0,0.00025071,0
90,69,22,388,0,0.000342265,0
91,49,20,389,0,3.65895e-08,0
92,57,21,389,0,1.32685e-05,0
93,61,22,389,0,0.000263078,0
94,66,21,391,0,2.60912e-06,0
95,60,22,392,0,0.000630942,0
96,36,19,394,0,2.06085e-08,0
97,61,22,395,0,0.000119559,0
98,60,22,397,0,0.000243016,0
99,66,21,397,0,9.39778e-08,0
100,62,20,398,0,1.51928e-08,0
101,68,21,401,0,1.31788e-08,0
102,63,21,402,0,3.22671e-06,0
103,68,21,404,0,6.45345e-08,0
104,62,20,406,0,6.8866e-10,0
105,70,21,406,0,1.27739e-06,0
106,63,21,411,0,1.02062e-07,0
107,65,21,415,0,1.36532e-06,0
108,77,22,416,0,6.00693e-05,0
109,88,23,422,0,0.00189622,0
110,70,21,425,0,5.19159e-09,0
111,77,22,427,0,1.31866e-05,0
112,79,22,428,0,2.12659e-06,0
113,88,23,428,0,0.00159611,0
114,72,22,434,0,9.37522e-08,0
115,73,22,434,0,1.29011e-07,0
116,95,23,440,0,0.000309434,0
117,79,22,441,0,6.68605e-06,0
118,73,22,443,0,1.41597e-05,0
119,80,23,448,0,0.000184039,0
120,95,23,449,0,0.00224303,0
121,72,22,451,0,3.59487e-06,0
122,81,22,451,0,1.28086e-08,0
123,93,23,455,0,0.000130016,0
124,90,23,456,0,0.000895126,0
125,90,23,465,0,0.000477085,0
126,80,23,469,0,0.000873308,0
127,89,23,469,0,8.21697e-05,0
128,89,23,476,0,6.02773e-05,0
129,93,23,481,0,0.00043844,0
130,97,23,485,0,3.80826e-05,0
131,98,23,485,0,0.000467466,0
132,97,23,493,0,2.6915e-05,0
133,98,23,500,0,8.69842e-05,0
134,108,23,513,0,3.30004e-05,0
135,109,24,521,0,0.00118999,0
136,108,23,527,0,8.95058e-08,0
137,109,24,528,0,0.00412426,0
138,120,24,532,0,0.00192206,0
139,120,24,537,0,0.00103621,0
140,113,24,539,0,0.0018736,0
141,124,24,542,0,0.000197624,0
142,126,24,544,0,0.000134847,0
143,126,24,547,0,0.000227244,0
144,124,24,549,0,7.73306e-05,0
145,113,24,554,0,0.00066047,0
146,129,24,554,0,0.000223254,0
147,131,24,567,0,0.000111738,0
148,129,24,569,0,4.09781e-05,0
149,125,24,573,0,3.66301e-05,0
150,125,24,576,0,0.000119355,0
151,131,24,576,0,7.75125e-05,0
152,116,24,577,0,0.000154666,0
153,137,25,579,0,0.00195243,0
154,116,24,581,0,7.71508e-05,0
155,119,24,587,0,2.43119e-05,0
156,137,25,597,0,0.00146205,0
157,123,24,598,0,1.73679e-06,0
158,138,25,600,0,0.00138738,0
159,140,25,601,0,0.000885061,0
160,139,25,606,0,0.000166007,0
161,133,24,608,0,2.90489e-05,0
162,138,25,609,0,0.000426466,0
163,133,24,613,0,2.66319e-06,0
164,135,25,613,0,0.000684013,0
165,123,24,614,0,5.18978e-06,0
166,140,25,614,0,0.000229272,0
167,145,25,616,0,6.74125e-05,0
168,119,24,618,0,3.74282e-06,0
169,128,24,618,0,5.83093e-07,0
170,135,25,618,0,0.000634869,0
171,128,24,620,0,3.46349e-06,0
172,139,25,620,0,0.000425758,0
173,127,24,622,0,6.46176e-06,0
174,145,25,624,0,0.000237634,0
175,130,24,631,0,6.56166e-08,0
176,134,24,634,0,4.72023e-06,0
177,127,24,638,0,1.15503e-05,0
178,146,25,638,0,8.95257e-06,0
179,141,25,641,0,0.000114604,0
180,153,26,645,0,0.00148695,0
181,130,24,649,0,2.57546e-06,0
182,150,25,649,0,6.46029e-06,0
183,152,25,649,0,3.15822e-06,0
184,142,25,650,0,7.97941e-06,0
185,158,26,650,0,0.000426944,0
186,143,25,654,0,1.43745e-05,0
187,152,25,657,0,7.94626e-06,0
188,141,25,658,0,4.15068e-05,0
189,151,25,658,0,7.77271e-06,0
190,143,25,659,0,2.85294e-05,0
191,159,26,659,0,0.000809398,0
192,150,25,660,0,1.18062e-05,0
193,153,26,660,0,0.00107643,0
194,132,24,661,0,4.68895e-08,0
195,144,25,662,0,5.97793e-06,0
196,142,25,663,0,1.0701e-05,0
197,146,25,663,0,3.46428e-05,0
198,132,24,664,0,2.85371e-06,0
199,154,25,664,0,1.59957e-05,0
200,158,26,664,0,0.000406658,0
201,170,26,665,0,0.000257041,0
202,156,26,666,0,0.000498907,0
203,144,25,667,0,3.12284e-07,0
204,147,25,667,0,4.8582e-07,0
205,154,25,667,0,9.74735e-06,0
206,162,26,668,0,7.55169e-05,0
207,164,26,668,0,0.000344184,0
208,147,25,670,0,5.78894e-06,0
209,164,26,670,0,0.000248679,0
210,156,26,673,0,0.000397057,0
211,170,26,675,0,8.95778e-05,0
212,174,26,678,0,7.95765e-05,0
213,172,26,680,0,8.84011e-05,0
214,172,26,681,0,4.30702e-05,0
215,159,26,683,0,0.000202517,0
216,161,25,683,0,5.42296e-08,0
217,162,26,685,0,7.36588e-05,0
218,166,26,685,0,2.64484e-05,0
219,161,25,686,0,4.46465e-06,0
220,134,24,688,0,6.03563e-07,0
221,148,25,692,0,9.29582e-07,0
222,151,25,692,0,1.19145e-06,0
223,179,26,693,0,3.78309e-05,0
224,149,25,694,0,1.23421e-06,0
225,174,26,694,0,2.78862e-05,0
226,179,26,694,0,5.22681e-05,0
227,160,26,695,0,7.51452e-06,0
228,166,26,696,0,1.52254e-05,0
229,180,27,696,0,0.00370322,0
230,160,26,698,0,9.13661e-06,0
231,149,25,700,0,1.37424e-06,0
232,148,25,702,0,1.6755e-06,0
233,193,27,703,0,0.00179579,0
234,191,27,704,0,0.00197346,0
235,193,27,708,0,0.000441718,0
236,155,25,709,0,6.64953e-08,0
237,180,27,710,0,0.00080246,0
238,191,27,712,0,0.000424448,0
239,188,26,713,0,1.219e-06,0
240,210,27,719,0,9.80152e-05,0
241,155,25,720,0,3.01075e-09,0
242,167,26,720,0,3.52127e-06,0
243,202,27,720,0,5.96981e-05,0
244,185,27,721,0,0.000158482,0
245,167,26,724,0,6.48843e-06,0
246,188,26,725,0,3.5469e-06,0
247,197,26,726,0,3.13324e-08,0
248,209,27,726,0,8.4161e-05,0
249,197,26,727,0,2.04025e-06,0
250,202,27,729,0,0.0001002,0
251,210,27,730,0,0.000117254,0
252,190,26,731,0,8.59454e-06,0
253,200,27,731,0,0.000150844,0
254,201,27,732,0,2.04259e-05,0
255,207,27,734,0,0.000215494,0
256,185,27,736,0,9.8278e-05,0
257,200,27,739,0,7.42981e-05,0
258,207,27,739,0,8.17942e-05,0
259,190,26,744,0,4.75514e-08,0
260,209,27,745,0,0.000128959,0
261,215,27,748,0,2.13406e-05,0
262,233,28,748,0,0.000682969,0
263,201,27,750,0,3.48962e-05,0
264,213,27,750,0,1.51081e-05,0
265,234,28,750,0,0.00107241,0
266,215,27,752,0,0.000106156,0
267,229,28,752,0,0.0015807,0
268,206,27,753,0,1.23795e-05,0
269,211,27,754,0,3.66726e-05,0
270,217,27,755,0,2.16279e-05,0
271,229,28,761,0,0.00170909,0
272,226,27,762,0,2.36752e-06,0
273,212,27,763,0,1.68427e-06,0
274,213,27,765,0,3.54954e-05,0
275,234,28,766,0,0.000959811,0
276,233,28,767,0,0.00249106,0
277,237,28,770,0,0.00147532,0
278,212,27,774,0,1.80788e-07,0
279,237,28,774,0,0.00054746,0
280,217,27,775,0,1.46051e-05,0
281,223,27,775,0,7.20738e-06,0
282,214,27,776,0,8.51178e-08,0
283,235,28,785,0,0.00014036,0
284,235,28,788,0,0.000299635,0
285,238,28,789,0,0.000125095,0
286,211,27,790,0,1.00277e-07,0
287,206,27,795,0,8.38889e-08,0
288,226,27,795,0,3.4036e-06,0
289,225,27,798,0,1.62706e-08,0
290,238,28,798,0,0.000215431,0
291,255,28,800,0,0.000100683,0
292,253,28,805,0,0.000157451,0
293,225,27,810,0,6.99849e-06,0
294,255,28,810,0,2.13943e-07,0
295,251,28,813,0,4.02771e-06,0
296,223,27,814,0,7.45495e-06,0
297,253,28,814,0,7.88297e-06,0
298,266,28,814,0,8.72485e-06,0
299,250,28,816,0,5.68951e-05,0
300,240,28,821,0,5.07162e-05,0
301,240,28,823,0,9.60918e-08,0
302,214,27,825,0,1.01434e-07,0
303,267,29,825,0,0.000191624,0
304,276,29,826,0,0.0036067,0
305,250,28,829,0,9.58693e-06,0
306,251,28,829,0,9.35815e-06,0
307,271,29,829,0,0.00044922,0
308,266,28,830,0,4.89862e-05,0
309,276,29,830,0,0.00269767,0
310,244,28,831,0,2.90644e-05,0
311,248,28,831,0,1.31185e-06,0
312,257,28,831,0,4.1381e-06,0
313,277,29,831,0,0.000842531,0
314,218,27,832,0,5.82753e-09,0
315,244,28,832,0,4.55817e-05,0
316,257,28,834,0,2.45629e-06,0
317,267,29,834,0,0.00043471,0
318,248,28,835,0,1.90887e-06,0
319,260,28,835,0,3.36084e-05,0
320,265,29,835,0,0.000308316,0
321,271,29,835,0,0.00071325,0
322,260,28,837,0,2.97554e-05,0
323,243,28,838,0,2.16769e-07,0
324,258,28,839,0,3.73783e-05,0
325,258,28,840,0,6.78114e-08,0
326,256,28,845,0,1.80312e-05,0
327,262,29,846,0,0.000704074,0
328,275,29,849,0,0.000299594,0
329,275,29,852,0,0.000330836,0
330,279,29,855,0,0.00026843,0
331,277,29,856,0,0.000713161,0
332,284,29,856,0,1.11031e-05,0
333,256,28,858,0,1.30881e-05,0
334,265,29,858,0,0.000220325,0
335,262,29,859,0,0.00019122,0
336,279,29,864,0,0.000231648,0
337,263,28,865,0,2.8789e-08,0
338,274,28,866,0,5.008e-09,0
339,263,28,868,0,1.05086e-07,0
340,269,28,869,0,2.51021e-06,0
341,304,30,869,0,0.00549456,0
342,290,29,872,0,1.76655e-05,0
343,274,28,873,0,4.71109e-06,0
344,309,30,873,0,0.00445531,0
345,292,29,874,0,1.24781e-05,0
346,283,29,875,0,1.29609e-06,0
347,304,30,876,0,0.00077676,0
348,284,29,884,0,1.53937e-05,0
349,243,28,886,0,3.3826e-08,0
350,291,29,888,0,1.77711e-05,0
351,283,29,889,0,3.68917e-06,0
352,285,29,891,0,2.86246e-06,0
353,292,29,891,0,8.27113e-06,0
354,291,29,892,0,2.13599e-07,0
355,290,29,893,0,2.7053e-05,0
356,309,30,895,0,0.000873257,0
357,299,29,900,0,3.22688e-06,0
358,331,30,900,0,0.000100117,0
359,269,28,901,0,4.89065e-08,0
360,313,30,904,0,0.000110368,0
361,327,30,904,0,5.54666e-05,0
362,285,29,906,0,8.09511e-06,0
363,313,30,907,0,0.000139722,0
364,327,30,907,0,0.000253396,0
365,300,29,909,0,1.44992e-07,0
366,307,30,909,0,4.04431e-05,0
367,307,30,910,0,4.40096e-05,0
368,317,30,911,0,2.25311e-05,0
369,321,30,911,0,0.00025573,0
370,329,30,911,0,4.27786e-05,0
371,328,30,912,0,7.34338e-05,0
372,331,30,912,0,0.000263857,0
373,308,29,917,0,8.56661e-06,0
374,321,30,917,0,6.55412e-05,0
375,341,31,917,0,0.00752619,0
376,317,30,918,0,0.000144949,0
377,341,31,918,0,0.00212593,0
378,315,29,920,0,9.37311e-06,0
379,308,29,921,0,1.69787e-07,0
380,320,30,921,0,9.49714e-05,0
381,299,29,922,0,9.63289e-06,0
382,329,30,922,0,1.19405e-05,0
383,319,29,923,0,2.65046e-07,0
384,344,31,925,0,0.00338892,0
385,300,29,926,0,1.16487e-06,0
386,303,30,926,0,6.64948e-05,0
387,315,29,926,0,1.34616e-08,0
388,320,30,928,0,1.55023e-05,0
389,328,30,928,0,7.209e-05,0
390,330,30,928,0,1.57671e-05,0
391,336,30,929,0,1.16857e-05,0
392,322,29,931,0,5.292e-06,0
393,334,30,932,0,5.23568e-05,0
394,344,31,935,0,0.00129208,0
395,319,29,937,0,1.28706e-06,0
396,335,30,937,0,2.7486e-05,0
397,324,29,938,0,3.36641e-08,0
398,336,30,940,0,3.40632e-05,0
399,322,29,942,0,1.1737e-07,0
400,356,31,942,0,0.000814817,0
