id,parent_id,depth,creation_step,i,r,is_infected,edge_len,absolute_x
0,-1,0,0,0,0.0754918,0,0,0
1,0,1,0,0,0,0,1,1
2,1,2,0,0,0,0,1,2
3,2,3,0,0,0,0,1,3
4,3,4,0,0,0,0,1,4
5,4,5,0,0,0,0,1,5
6,5,6,0,0,0,0,1,6
7,6,7,0,0,0,0,1,7
8,7,8,0,0,0,0,1,8
9,8,9,0,0,0,0,1,9
10,9,10,0,0,0,0,1,10
11,10,11,0,0,0,0,1,11
12,11,12,0,0,0.00889015,0,1,12
13,12,13,3,0,0.000492462,0,0.736089,12.7361
14,12,13,8,0,0.0175023,0,1.36502,13.365
15,14,14,131,0,0.000609134,0,0.924555,14.2896
16,14,14,134,0,0.00287293,0,1.04285,14.4079
17,13,14,217,0,2.10504e-05,0,1.27688,14.013
18,13,14,219,0,6.70214e-06,0,1.06264,13.7987
19,16,15,270,0,0.0173687,0,1.37371,15.7816
20,16,15,279,0,0.00227289,0,1.19561,15.6035
21,19,16,424,0,0.0184764,0,1.47373,17.2553
22,19,16,428,0,0.000804326,0,0.787762,16.5693
23,20,16,463,0,0.000499911,0,1.39323,16.9967
24,20,16,465,0,8.86677e-06,0,0.833062,16.4365
25,21,17,525,0,0.00495845,0,1.10114,18.3565
26,21,17,527,0,0.00578362,0,1.3203,18.5756
27,22,17,566,0,5.52509e-05,0,1.34205,17.9114
28,22,17,573,0,9.4202e-08,0,0.740385,17.3097
29,25,18,629,0,0.0244723,0,1.43951,19.796
30,26,18,644,0,0.000556925,0,0.783055,19.3587
31,25,18,649,0,0.000240083,0,0.891887,19.2483
32,26,18,655,0,0.000194906,0,0.69564,19.2712
33,29,19,761,0,0.00891137,0,1.11769,20.9137
34,29,19,763,0,0.00105145,0,0.82854,20.6245
35,33,20,917,0,0.0187922,0,1.20864,22.1223
36,33,20,923,0,0.0105228,0,1.27869,22.1924
37,35,21,1067,0,0.0116647,0,1.2862,23.4085
38,35,21,1071,0,0.00720568,0,1.04015,23.1624
39,36,21,1097,0,0.000137231,0,0.665943,22.8583
40,36,21,1099,0,0.00175657,0,1.24632,23.4387
41,38,22,1199,0,0.00266042,0,1.09837,24.2608
42,38,22,1205,0,0.00172459,0,1.17159,24.334
43,37,22,1210,0,0.00188503,0,0.980034,24.3885
44,37,22,1215,0,0.0218867,0,1.32311,24.7316
45,40,22,1329,0,7.6303e-05,0,1.20941,24.6481
46,40,22,1330,0,0.000374983,0,1.22353,24.6622
47,44,23,1348,0,0.00184119,0,0.753341,25.485
48,44,23,1350,0,0.00165391,0,0.843451,25.5751
49,41,23,1388,0,0.0273523,0,1.35111,25.6119
50,41,23,1398,0,0.000474422,0,0.967981,25.2288
51,43,23,1414,0,2.06361e-05,0,0.763785,25.1523
52,43,23,1418,0,0.000587507,0,1.21934,25.6079
53,42,23,1425,0,2.91161e-07,0,0.627821,24.9619
54,42,23,1434,0,7.83181e-05,0,0.710256,25.0443
55,49,24,1548,0,0.0037022,0,0.775482,26.3874
56,49,24,1556,0,0.000942017,0,0.682171,26.2941
57,47,24,1570,0,3.73485e-05,0,0.890373,26.3753
58,47,24,1573,0,0.0199249,0,1.44885,26.9338
59,55,25,1763,0,0.00408578,0,1.1856,27.573
60,55,25,1765,0,2.02947e-05,0,0.509636,26.897
61,58,25,1768,0,0.00992785,0,1.14604,28.0798
62,58,25,1769,0,0.0183264,0,1.08667,28.0205
63,62,26,1893,0,0.000352633,0,0.673726,28.6942
64,62,26,1897,0,0.000567842,0,0.666702,28.6872
65,61,26,1920,0,0.00101816,0,0.802058,28.8819
66,61,26,1923,0,0.0189755,0,1.31276,29.3926
67,59,26,1957,0,0.0103219,0,0.65874,28.2317
68,59,26,1961,0,0.015987,0,0.954526,28.5275
69,66,27,2078,0,0.00266119,0,0.572682,29.9653
70,66,27,2084,0,0.00152857,0,0.511772,29.9044
71,67,27,2167,0,0.0752925,0,1.34277,29.5745
72,67,27,2170,0,0.000159624,0,0.555723,28.7875
73,68,27,2180,0,0.00017995,0,0.605739,29.1333
74,68,27,2181,0,0.000129818,0,0.523741,29.0513
75,71,28,2309,0,0.0434677,0,1.42836,31.0029
76,71,28,2319,0,0.00770238,0,1.3247,30.8992
77,75,29,2395,0,0.0251585,0,1.36442,32.3673
78,75,29,2398,0,0.000559868,0,0.722037,31.7249
79,76,29,2421,0,0.00274497,0,1.44206,32.3413
80,76,29,2432,0,9.57421e-05,0,0.666049,31.5653
81,77,30,2541,0,0.0104879,0,1.14323,33.5105
82,77,30,2543,0,0.0685236,0,1.35229,33.7196
83,82,31,2689,0,0.0169764,0,1.14035,34.8599
84,82,31,2690,0,0.00219656,0,0.690831,34.4104
85,79,30,2722,0,2.25467e-05,0,1.09129,33.4326
86,81,31,2726,0,0.0101839,0,1.34124,34.8518
87,81,31,2729,0,0.00345438,0,1.32542,34.8359
88,79,30,2751,0,6.81281e-06,0,0.6861,33.0274
89,83,32,2816,0,0.0521671,0,1.45559,36.3155
90,83,32,2817,0,0.0107672,0,1.0063,35.8662
91,86,32,2878,0,0.000743558,0,0.824755,35.6765
92,86,32,2879,0,0.00075799,0,0.580094,35.4319
93,89,33,3022,0,0.0656786,0,1.37862,37.6942
94,89,33,3023,0,0.0126749,0,1.22034,37.5359
95,90,33,3029,0,0.00131622,0,1.0227,36.8889
96,90,33,3034,0,0.000167528,0,0.514105,36.3803
97,93,34,3139,0,0.0259505,0,1.30708,39.0012
98,93,34,3150,0,0.000452896,0,0.540613,38.2348
99,94,34,3170,0,0.00187161,0,1.1534,38.6893
100,94,34,3172,0,0.000580808,0,0.934194,38.4701
101,97,35,3286,5.8289e-07,0.0569784,1,1.27725,40.2785
102,97,35,3288,1.90802e-06,0.0383409,1,1.29311,40.2943
103,101,36,3429,0.000362246,0.0436233,1,1.42994,41.7084
104,101,36,3431,4.91895e-07,0.00111335,1,0.534177,40.8127
105,102,36,3448,7.17457e-07,0.000473499,1,0.718844,41.0132
106,102,36,3450,9.77519e-06,0.00218624,1,1.07435,41.3687
107,103,37,3546,3.41293e-05,0.000886214,1,0.895738,42.6042
108,103,37,3548,0.000284792,0.00459935,1,1.45574,43.1642
109,108,38,3693,1.30548e-06,1.07967e-05,1,0.719094,43.8833
110,108,38,3699,3.85988e-07,1.98542e-06,1,1.17649,44.3407
