step,total_i
1,0.000106885
2,0.000114269
3,0.000122151
4,0.000130578
5,0.000139559
6,0.000149154
7,0.000159403
8,0.00017035
9,0.000182043
10,0.000194532
11,0.000207868
12,0.000222109
13,0.000237314
14,0.000253547
15,0.000270874
16,0.000289367
17,0.000309103
18,0.000330149
19,0.000352612
20,0.00037656
21,0.000402101
22,0.000429352
23,0.000458391
24,0.00048934
25,0.000522335
26,0.000557438
27,0.000594841
28,0.000634639
29,0.000677004
30,0.000722093
31,0.000770013
32,0.000820961
33,0.000875137
34,0.000932671
35,0.000993693
36,0.00105846
37,0.00112713
38,0.00119991
39,0.00127698
40,0.00135856
41,0.00144482
42,0.00153598
43,0.00163218
44,0.0017337
45,0.00184069
46,0.00195326
47,0.00207172
48,0.00219614
49,0.00232663
50,0.00246339
51,0.00260639
52,0.00275582
53,0.00291163
54,0.00307383
55,0.00324237
56,0.00341715
57,0.00359802
58,0.00378477
59,0.00397714
60,0.00417477
61,0.00437726
62,0.00458412
63,0.0047948
64,0.00500861
65,0.00522486
66,0.00544272
67,0.00566123
68,0.00587945
69,0.00609632
70,0.00631072
71,0.00652145
72,0.00672726
73,0.0069269
74,0.00711906
75,0.00730241
76,0.00747565
77,0.00763751
78,0.00778672
79,0.00792213
80,0.00804265
81,0.00814728
82,0.00823518
83,0.00830554
84,0.00835783
85,0.00839165
86,0.00840662
87,0.0084027
88,0.00837994
89,0.00833871
90,0.00827938
91,0.00820238
92,0.00810854
93,0.00799872
94,0.00787388
95,0.00773505
96,0.0075834
97,0.00742021
98,0.00724671
99,0.00706409
100,0.00687373
101,0.00667694
102,0.00647481
103,0.00626869
104,0.00605979
105,0.00584914
106,0.00563788
107,0.00542682
108,0.00521696
109,0.00500913
110,0.00480397
111,0.00460214
112,0.00440424
113,0.00421074
114,0.00402206
115,0.00383853
116,0.00366049
117,0.00348812
118,0.00332159
119,0.00316099
120,0.00300644
121,0.00285793
122,0.00271542
123,0.0025789
124,0.00244827
125,0.00232346
126,0.00220433
127,0.00209075
128,0.00198257
129,0.00187964
130,0.00178177
131,0.0016888
132,0.00160051
133,0.00151676
134,0.00143738
135,0.00136218
136,0.00129092
137,0.00122352
138,0.00115971
139,0.00109933
140,0.00104234
141,0.000988409
142,0.000937402
143,0.000889276
144,0.000843831
145,0.000800929
146,0.0007604
147,0.000722141
148,0.000686031
149,0.000651938
150,0.000619775
151,0.000589424
152,0.000560792
153,0.000533774
154,0.000508269
155,0.000484172
156,0.000461462
157,0.000440011
158,0.000419775
159,0.000400704
160,0.000382696
161,0.000365677
162,0.000349618
163,0.000334436
164,0.00032011
165,0.000306577
166,0.000293806
167,0.000281754
168,0.00027036
169,0.000259615
170,0.000249493
171,0.000239884
172,0.000230802
173,0.000222219
174,0.000214094
175,0.000206422
176,0.000199167
177,0.000192305
178,0.000185816
179,0.000179698
180,0.00017389
181,0.000168387
182,0.000163209
183,0.000158283
184,0.000153661
185,0.000149271
186,0.000145147
187,0.000141215
188,0.000137494
189,0.000133976
190,0.00013064
191,0.000127497
192,0.000124525
193,0.000121716
194,0.000119062
195,0.000116554
196,0.000114176
197,0.000111962
198,0.000109825
199,0.000107839
200,0.000105957
201,0.000104195
202,0.000102528
203,0.000100971
204,9.94993e-05
205,9.81297e-05
206,9.6868e-05
207,9.57007e-05
208,9.45647e-05
209,9.35057e-05
210,9.255e-05
211,9.16563e-05
212,9.08306e-05
213,9.01014e-05
214,8.93757e-05
215,8.87214e-05
216,8.81965e-05
217,8.77493e-05
218,8.72845e-05
219,8.69046e-05
220,8.65471e-05
221,8.62516e-05
222,8.59763e-05
223,8.58107e-05
224,8.56539e-05
225,8.55236e-05
226,8.5449e-05
227,8.54197e-05
228,8.54342e-05
229,8.55009e-05
230,8.56299e-05
231,8.57911e-05
232,8.6034e-05
233,8.62888e-05
234,8.65619e-05
235,8.68965e-05
236,8.72909e-05
237,8.77062e-05
238,8.81629e-05
239,8.87006e-05
240,8.93095e-05
241,8.98853e-05
242,9.05122e-05
243,9.11708e-05
244,9.18611e-05
245,9.26099e-05
246,9.34129e-05
247,9.42396e-05
248,9.51306e-05
249,9.60869e-05
250,9.70491e-05
251,9.80879e-05
252,9.91941e-05
253,0.000100339
254,0.000101502
255,0.000102787
256,0.000104043
257,0.000105393
258,0.000106757
259,0.000108161
260,0.000109704
261,0.000111274
262,0.000112863
263,0.000114474
264,0.000116233
265,0.00011797
266,0.000119782
267,0.000121663
268,0.000123664
269,0.000125747
270,0.000127905
271,0.000130119
272,0.000132442
273,0.000134826
274,0.000137304
275,0.000139828
276,0.000142501
277,0.000145248
