step,depth,i
1,12,0.0001
2,12,0.000101801
3,12,0.000103632
4,12,0.000105483
4,13,1e-08
5,12,0.000107375
6,12,0.000109287
6,13,1e-08
7,12,0.00011124
8,12,0.000113225
9,12,0.000115232
9,13,1e-08
10,12,0.000117282
10,13,1e-08
11,12,0.000119354
11,13,2e-08
12,12,0.000121459
12,13,5e-08
13,12,0.000123597
13,13,5e-08
14,12,0.00012577
14,13,7e-08
15,12,0.000127976
15,13,1e-07
16,12,0.000130217
16,13,1.6e-07
17,12,0.000132494
17,13,1.869e-07
18,12,0.000134815
18,13,2.34161e-07
19,12,0.000137172
19,13,3.01803e-07
20,12,0.000139556
20,13,3.254e-07
21,12,0.000141986
21,13,3.39989e-07
22,12,0.000144453
22,13,3.5524e-07
23,12,0.000146947
23,13,3.81184e-07
24,12,0.000149489
24,13,3.98382e-07
25,12,0.000152059
25,13,4.26365e-07
26,12,0.000154667
26,13,4.55537e-07
27,12,0.000157324
27,13,4.76109e-07
28,12,0.000159999
28,13,5.17621e-07
29,12,0.000162724
29,13,5.51008e-07
30,12,0.000165489
30,13,5.8599e-07
31,12,0.000168293
31,13,6.22641e-07
32,12,0.000171148
32,13,6.51041e-07
33,12,0.000174033
33,13,6.90749e-07
34,12,0.000176959
34,13,7.32347e-07
35,12,0.000179936
35,13,7.65768e-07
36,12,0.000182935
36,13,8.20724e-07
37,12,0.000185995
37,13,8.58016e-07
38,12,0.000189087
38,13,9.07014e-07
39,12,0.000192222
39,13,9.58158e-07
40,12,0.000195388
40,13,1.02154e-06
41,12,0.000198617
41,13,1.06779e-06
42,12,0.000201879
42,13,1.12614e-06
43,12,0.000205184
43,13,1.18705e-06
44,12,0.000208532
44,13,1.25063e-06
45,12,0.000211914
45,13,1.32716e-06
46,12,0.000215338
46,13,1.40714e-06
47,12,0.000218816
47,13,1.48087e-06
48,12,0.000222338
48,13,1.55801e-06
49,12,0.000225913
49,13,1.62872e-06
50,12,0.000229522
50,13,1.71265e-06
51,12,0.000233175
51,13,1.80045e-06
52,12,0.000236882
52,13,1.8823e-06
53,12,0.000240624
53,13,1.97787e-06
54,12,0.000244419
54,13,2.06784e-06
55,12,0.000248247
55,13,2.1719e-06
56,12,0.00025212
56,13,2.28074e-06
57,12,0.000256047
57,13,2.38442e-06
58,12,0.000260007
58,13,2.5028e-06
59,12,0.00026402
59,13,2.61659e-06
60,12,0.000268068
60,13,2.74554e-06
61,12,0.000272158
61,13,2.88038e-06
62,12,0.000276301
62,13,3.01137e-06
63,12,0.000280477
63,13,3.15828e-06
64,12,0.000284695
64,13,3.31188e-06
65,12,0.000288945
65,13,3.4823e-06
66,12,0.000293237
66,13,3.66035e-06
67,12,0.000297569
67,13,3.84652e-06
68,12,0.000301953
68,13,4.03101e-06
69,12,0.000306367
69,13,4.23383e-06
70,12,0.000310821
70,13,4.44586e-06
71,12,0.000315314
71,13,4.66719e-06
72,12,0.000319846
72,13,4.89835e-06
73,12,0.000324406
73,13,5.14963e-06
74,12,0.000329013
74,13,5.4021e-06
75,12,0.000333677
75,13,5.64559e-06
76,12,0.000338358
76,13,5.91989e-06
77,12,0.000343073
77,13,6.20629e-06
78,12,0.000347824
78,13,6.5053e-06
79,12,0.000352608
79,13,6.81747e-06
80,12,0.000357424
80,13,7.14319e-06
81,12,0.000362273
81,13,7.48303e-06
82,12,0.000367153
82,13,7.83772e-06
83,12,0.000372072
83,13,8.19805e-06
84,12,0.00037701
84,13,8.58404e-06
85,12,0.000381976
85,13,8.98681e-06
86,12,0.000386968
86,13,9.40691e-06
87,12,0.000391986
87,13,9.84505e-06
88,12,0.000397027
88,13,1.0302e-05
89,12,0.000402101
89,13,1.07686e-05
90,12,0.000407187
90,13,1.12654e-05
91,12,0.000412272
91,13,1.18035e-05
92,12,0.000417376
92,13,1.23647e-05
93,12,0.000422516
93,13,1.29301e-05
94,12,0.000427681
94,13,1.35095e-05
95,12,0.00043284
95,13,1.41334e-05
96,12,0.000438031
96,13,1.47639e-05
97,12,0.000443242
97,13,1.54112e-05
98,12,0.000448462
98,13,1.60858e-05
99,12,0.000453659
99,13,1.6819e-05
100,12,0.00045887
100,13,1.7573e-05
101,12,0.000464075
101,13,1.83688e-05
102,12,0.000469279
102,13,1.91977e-05
103,12,0.000474493
103,13,2.00512e-05
104,12,0.000479683
104,13,2.09601e-05
105,12,0.000484877
105,13,2.18965e-05
106,12,0.000490063
106,13,2.28716e-05
107,12,0.00049525
