Time,Locus1,Locus2,Locus3,Locus4,Locus5,Locus6,Locus7,Locus8,Locus9,Locus10,Locus11,Locus12,Locus13,Locus14,Locus15,Locus16,Locus17,Locus18,Locus19,Locus20,Locus21,Locus22,Locus23,Locus24,Locus25,Locus26,Locus27,Locus28,Locus29,Locus30,Locus31,Locus32,Locus33,Locus34,Locus35,Locus36,Locus37,Locus38,Locus39,Locus40,Locus41,Locus42,Locus43,Locus44,Locus45,Locus46,Locus47,Locus48,Locus49,Locus50,Locus51,Locus52,Locus53,Locus54,Locus55,Locus56,Locus57,Locus58,Locus59,Locus60,Locus61,Locus62,Locus63,Locus64,Locus65,Locus66,Locus67,Locus68,Locus69,Locus70,Locus71,Locus72,Locus73,Locus74,Locus75,Locus76,Locus77,Locus78,Locus79,Locus80,Locus81,Locus82,Locus83,Locus84,Locus85,Locus86,Locus87,Locus88,Locus89,Locus90,Locus91,Locus92,Locus93,Locus94,Locus95,Locus96,Locus97,Locus98,Locus99,Locus100,Locus101,Locus102,Locus103,Locus104,Locus105,Locus106,Locus107,Locus108,Locus109,Locus110,Locus111,Locus112,Locus113,Locus114,Locus115,Locus116,Locus117,Locus118,Locus119,Locus120,Locus121,Locus122,Locus123,Locus124,Locus125,Locus126,Locus127,Locus128,Locus129,Locus130,Locus131,Locus132,Locus133,Locus134,Locus135,Locus136,Locus137,Locus138,Locus139,Locus140,Locus141,Locus142,Locus143,Locus144,Locus145,Locus146,Locus147,Locus148,Locus149,Locus150,Locus151,Locus152,Locus153,Locus154,Locus155,Locus156,Locus157,Locus158,Locus159,Locus160,Locus161,Locus162,Locus163,Locus164,Locus165,Locus166,Locus167,Locus168,Locus169,Locus170,Locus171,Locus172,Locus173,Locus174,Locus175,Locus176,Locus177,Locus178,Locus179,Locus180,Locus181,Locus182,Locus183,Locus184,Locus185,Locus186,Locus187,Locus188,Locus189,Locus190,Locus191,Locus192,Locus193,Locus194,Locus195,Locus196,Locus197,Locus198,Locus199,Locus200,Locus201,Locus202,Locus203,Locus204,Locus205,Locus206,Locus207,Locus208,Locus209,Locus210,Locus211,Locus212,Locus213,Locus214,Locus215,Locus216,Locus217,Locus218,Locus219,Locus220,Locus221,Locus222,Locus223,Locus224,Locus225,Locus226,Locus227,Locus228,Locus229,Locus230,Locus231,Locus232,Locus233,Locus234,Locus235,Locus236,Locus237,Locus238,Locus239,Locus240,Locus241,Locus242,Locus243,Locus244,Locus245,Locus246,Locus247,Locus248,Locus249,Locus250,Locus251,Locus252,Locus253,Locus254,Locus255,Locus256,Locus257,Locus258,Locus259,Locus260,Locus261,Locus262,Locus263,Locus264,Locus265,Locus266,Locus267,Locus268,Locus269,Locus270,Locus271,Locus272,Locus273,Locus274,Locus275,Locus276,Locus277,Locus278,Locus279,Locus280,Locus281,Locus282,Locus283,Locus284,Locus285,Locus286,Locus287,Locus288,Locus289,Locus290,Locus291,Locus292,Locus293,Locus294,Locus295,Locus296,Locus297,Locus298,Locus299,Locus300
0,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0.002,0,0,0,0,0.003,0,0.001,0,0,0.003,0,0,0,0.002,0.002,0,0,0,0.001,0,0,0,0,0,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.003,0.001,0,0,0,0.003,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0,0.001,0,0,0.003,0,0.002,0.002,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.002,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0.001,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.001,0.001,0,0,0.002,0,0.001,0.001,0,0.002,0,0,0,0,0,0,0.002,0.001,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.003,0,0,0.003,0,0.001,0,0,0.001,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.002,0,0.001,0,0,0.003,0,0,0,0.004,0.002,0,0,0,0.004,0,0,0.002,0,0,0,0.002,0.001,0.003,0.003,0,0,0,0,0.002,0,0,0,0,0.007,0,0,0,0.003,0,0,0,0,0,0.003,0.001,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0,0.007,0.002,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0.003,0.003,0,0.001,0,0,0.006,0,0.005,0.002,0,0,0,0.004,0,0.003,0.001,0,0.002,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,0,0,0.003,0,0.003,0,0,0,0,0,0,0,0,0.004,0,0,0,0.002,0.007,0,0,0.002,0,0,0,0.003,0,0.001,0.004,0,0.001,0.002,0,0,0,0.001,0,0,0.001,0,0,0.004,0,0.001,0,0,0.001,0.002,0,0.005,0.002,0,0,0,0.002,0,0.001,0.001,0,0,0.002,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.001,0,0.003,0.001,0.003,0.002,0,0,0.002,0.002,0,0,0,0.003,0,0,0.004,0.001,0.003,0,0,0.001,0,0,0,0.002,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.003,0.001,0,0.005,0,0.002,0,0,0.006,0.008,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0.003,0,0,0.001,0.001,0.002,0,0,0,0.002,0,0,0,0,0,0,0
2,0.001,0.005,0,0,0,0,0.001,0,0,0.001,0,0.002,0,0,0,0.002,0,0.004,0,0,0,0,0.001,0,0.001,0.004,0,0.008,0,0,0,0.006,0.002,0,0,0,0.007,0,0,0.001,0,0,0,0.003,0.001,0.004,0.007,0,0,0,0.001,0.004,0,0,0,0,0.005,0.001,0,0,0.005,0,0,0,0,0.002,0.005,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0.005,0.001,0,0,0.003,0,0.004,0,0.002,0.001,0,0,0,0,0,0,0.002,0,0,0,0,0,0.002,0,0.001,0.005,0,0.002,0.001,0,0.005,0,0.002,0.003,0,0.002,0,0.006,0,0.004,0,0,0.001,0.001,0,0,0,0,0.001,0.002,0.002,0,0,0.002,0,0.001,0,0,0,0.001,0.001,0.003,0,0.01,0,0.005,0,0.002,0.004,0,0,0,0,0,0.004,0.003,0,0,0.002,0.013,0.002,0,0.005,0,0,0,0.004,0,0.002,0.002,0,0.003,0.004,0,0,0,0.001,0,0.001,0,0,0,0.007,0.005,0.008,0,0,0.002,0.001,0.002,0.007,0.004,0,0.003,0,0.003,0.001,0.002,0.003,0.001,0.001,0.003,0,0,0.002,0.006,0,0,0,0,0,0.002,0,0,0,0,0.001,0.001,0.008,0,0,0.003,0,0.004,0.001,0.002,0,0,0,0.004,0,0,0.008,0.002,0.005,0,0,0,0.002,0,0,0.002,0.001,0,0.011,0,0.001,0.002,0,0,0,0,0.001,0,0,0,0,0,0.004,0.002,0.003,0,0.008,0,0.002,0,0,0.005,0.013,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0.003,0.002,0,0,0.002,0,0,0,0,0.002,0,0,0.002,0.002,0,0,0
3,0.001,0.003,0.002,0,0,0,0.001,0,0,0.002,0,0.008,0,0,0,0.003,0,0.005,0,0,0,0,0,0,0.001,0.005,0.001,0.014,0,0,0,0.006,0.004,0.005,0,0,0.01,0,0,0.003,0.001,0,0,0.004,0.001,0.005,0.008,0,0,0.002,0.001,0.007,0,0.002,0,0.003,0.005,0.001,0,0,0.003,0,0.001,0,0,0.001,0.005,0,0,0,0.002,0,0,0,0,0.001,0,0,0,0.003,0,0.011,0.002,0,0,0.002,0,0.003,0,0.003,0.002,0.002,0,0,0,0,0,0.005,0,0.002,0,0,0.002,0,0,0,0.003,0.001,0.001,0,0,0.008,0.004,0.001,0.003,0,0.002,0,0.01,0,0.006,0.001,0.002,0.005,0.003,0.002,0,0,0.003,0,0.004,0.003,0,0,0.005,0.001,0,0,0.001,0,0.003,0,0.001,0,0.009,0.002,0.009,0,0.004,0.005,0.003,0,0,0,0,0.006,0.003,0,0,0.007,0.021,0.004,0,0.008,0.002,0,0.002,0.001,0,0.003,0.002,0.003,0.002,0.007,0,0,0,0,0,0,0,0,0,0.007,0.006,0.006,0,0,0.003,0.001,0.006,0.012,0.003,0,0.006,0.002,0.004,0,0.003,0,0.002,0.002,0.004,0,0,0.002,0.007,0,0,0,0,0.003,0.003,0.001,0,0,0,0.002,0.001,0.008,0,0.002,0.002,0,0.013,0.003,0.003,0,0,0,0.006,0.002,0.001,0.005,0.001,0.003,0,0,0,0.001,0,0.001,0.003,0.001,0,0.017,0,0.001,0.002,0,0.005,0,0,0.001,0,0,0,0.001,0,0.008,0.002,0.005,0,0.006,0,0.006,0,0,0.006,0.015,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0.003,0.004,0,0,0.001,0,0,0,0,0.002,0.001,0,0.002,0.008,0,0,0.001
4,0.001,0.004,0.002,0.001,0.001,0.002,0.002,0,0,0.004,0.001,0.006,0,0.001,0.004,0.004,0.006,0.011,0,0.004,0,0,0.001,0,0.004,0.003,0.001,0.022,0.003,0,0,0.006,0.002,0.013,0,0,0.008,0,0.003,0.003,0.004,0,0,0.002,0.005,0.007,0.011,0,0,0.004,0,0.004,0,0.004,0,0.003,0.008,0,0,0,0.003,0,0.001,0,0,0.007,0.004,0,0,0,0.01,0.001,0,0,0.007,0.001,0,0,0,0.002,0,0.015,0.002,0,0,0.002,0,0.002,0,0.008,0.003,0.003,0,0,0,0,0,0.007,0,0.002,0,0,0,0.001,0,0.001,0.002,0.006,0.001,0,0,0.01,0.004,0.001,0.003,0,0.003,0.002,0.007,0,0.006,0.003,0.001,0.006,0.001,0,0.001,0,0.006,0,0.003,0.002,0,0,0.005,0,0.005,0,0.002,0,0.005,0.003,0,0.001,0.008,0.004,0.01,0,0.004,0.007,0.001,0,0,0,0.004,0.005,0.005,0,0,0.012,0.027,0.006,0,0.009,0.01,0,0.003,0.001,0.004,0.003,0.001,0.007,0.003,0.014,0,0,0.005,0,0,0.001,0,0,0,0.005,0.005,0.005,0.004,0.003,0.004,0,0.005,0.007,0.002,0,0.007,0,0.004,0,0.006,0,0.005,0.001,0.006,0,0,0.004,0.008,0,0.001,0.002,0,0.006,0.006,0.003,0,0,0,0.002,0.001,0.017,0,0.001,0.005,0.001,0.023,0.005,0.005,0.003,0,0,0.004,0.002,0.001,0.01,0.002,0.003,0,0,0,0.001,0.006,0,0.005,0.002,0,0.028,0,0,0.005,0,0.012,0.001,0,0.002,0,0,0,0,0,0.003,0.001,0.005,0.001,0.008,0,0.011,0.001,0,0.006,0.014,0,0,0.003,0.001,0,0,0.001,0,0,0.001,0,0.001,0,0.005,0.007,0,0.003,0,0,0,0,0,0.005,0,0,0.002,0.016,0,0,0.005
5,0,0.001,0.003,0,0.001,0.005,0.002,0,0,0.002,0.001,0.006,0.001,0.003,0.004,0.002,0.009,0.021,0,0.006,0,0,0.002,0,0.005,0.005,0.001,0.035,0.001,0,0,0.007,0.002,0.021,0.002,0.002,0.008,0,0.004,0.003,0.008,0,0,0.002,0.007,0.009,0.01,0,0.001,0.002,0,0.005,0,0.003,0.001,0.002,0.009,0,0,0,0.002,0,0.001,0.001,0.002,0.01,0.004,0,0,0,0.011,0.002,0,0.002,0.016,0,0,0,0,0.006,0,0.029,0.004,0.004,0.002,0.002,0,0.006,0,0.01,0.005,0.003,0,0,0,0.001,0.004,0.009,0,0.002,0,0,0,0.004,0,0.001,0.001,0.007,0.002,0,0.004,0.011,0.006,0.002,0.004,0,0.001,0.004,0.011,0.003,0.01,0.005,0.001,0.01,0.001,0.001,0,0,0.009,0.002,0.006,0.002,0.003,0,0.007,0.001,0.008,0,0.005,0,0.005,0.001,0,0,0.005,0.002,0.012,0,0.004,0.013,0.001,0,0,0,0.002,0.005,0.01,0,0,0.015,0.034,0.008,0,0.009,0.011,0,0.008,0.001,0.003,0.004,0.001,0.013,0.004,0.02,0,0.002,0.01,0,0.003,0.002,0,0,0,0.005,0.005,0.012,0.01,0,0.008,0.001,0.006,0.006,0.003,0,0.004,0,0.005,0,0.007,0.002,0.009,0.002,0.003,0,0,0.006,0.007,0.002,0.003,0.003,0,0.01,0.005,0.004,0.002,0,0,0.001,0.002,0.025,0,0.001,0.007,0.003,0.032,0.01,0.003,0.003,0,0.006,0.004,0.002,0,0.012,0.002,0.002,0,0,0,0.001,0.007,0,0.009,0.003,0,0.039,0,0,0.005,0.003,0.021,0,0,0.003,0,0,0,0,0,0.001,0.004,0.008,0,0.004,0,0.014,0.001,0,0.005,0.011,0,0.001,0.007,0.001,0,0.002,0.002,0,0,0.001,0,0,0,0.002,0.01,0.002,0.001,0.003,0.004,0,0.001,0,0.003,0,0,0,0.026,0,0,0.009
6,0,0,0.001,0,0,0.008,0.002,0,0,0.001,0.002,0.002,0.004,0.004,0.002,0,0.009,0.023,0,0.001,0.001,0,0.004,0,0.005,0.006,0,0.041,0,0,0,0.008,0.004,0.023,0.001,0,0.009,0,0.007,0.007,0.012,0,0,0.002,0.018,0.01,0.012,0,0,0.003,0,0.006,0,0.002,0.004,0.002,0.012,0,0,0,0.001,0,0.004,0,0.001,0.023,0.005,0.001,0,0,0.01,0.002,0.002,0,0.015,0,0.001,0,0.002,0.004,0,0.036,0.006,0.004,0.001,0.007,0,0.009,0,0.013,0.006,0.001,0,0.001,0,0.006,0.002,0.007,0,0,0,0,0,0.003,0,0.002,0.003,0.008,0.001,0,0.004,0.008,0.006,0.001,0.002,0,0.003,0.004,0.006,0.001,0.005,0.005,0.003,0.016,0.002,0.003,0.002,0,0.014,0.002,0.01,0.002,0.006,0,0.006,0.002,0.011,0,0.012,0.002,0.006,0,0,0,0.008,0,0.013,0,0.004,0.012,0,0,0,0.004,0.003,0.004,0.01,0,0,0.017,0.047,0.012,0,0.015,0.022,0,0.016,0,0.001,0.005,0.001,0.019,0.004,0.014,0,0.001,0.012,0,0.002,0.001,0,0,0,0.009,0.009,0.021,0.005,0,0.007,0.004,0.008,0.01,0.004,0,0.006,0,0.006,0.001,0.004,0.002,0.006,0.001,0,0,0,0.009,0.006,0.001,0.003,0.006,0,0.015,0.008,0.005,0.005,0,0,0.001,0.006,0.031,0,0,0.006,0.002,0.042,0.009,0.004,0.002,0,0.008,0.004,0.002,0,0.009,0.003,0.001,0.001,0.002,0,0.003,0.02,0.002,0.008,0.004,0,0.053,0,0,0.008,0.007,0.023,0,0,0,0,0,0,0,0,0.002,0.005,0.009,0,0.001,0,0.015,0.002,0,0.007,0.007,0,0.001,0.009,0.005,0,0.007,0.005,0,0.001,0,0,0,0,0.005,0.008,0.003,0,0.004,0.006,0,0.002,0,0.006,0,0,0.002,0.03,0.001,0,0.019
7,0,0,0.001,0.003,0,0.011,0.002,0.002,0,0.001,0.002,0.002,0.006,0.008,0.001,0,0.018,0.021,0,0.002,0.001,0,0.005,0,0.004,0.006,0,0.047,0,0,0,0.003,0.005,0.023,0.003,0,0.009,0,0.006,0.011,0.02,0,0,0.006,0.021,0.011,0.01,0,0,0.009,0,0.008,0,0.002,0.005,0.003,0.009,0.001,0,0,0.001,0,0.001,0,0.002,0.023,0.006,0.002,0,0,0.013,0.001,0.003,0,0.021,0,0.001,0,0.001,0.001,0,0.04,0.006,0.006,0.002,0.002,0,0.005,0.001,0.013,0.007,0.002,0,0,0,0.009,0.005,0.004,0,0,0,0,0,0.003,0,0.001,0.004,0.006,0.001,0,0.01,0.005,0.004,0,0,0,0.002,0.005,0.01,0,0.005,0.006,0.002,0.02,0.004,0.005,0.004,0,0.024,0.001,0.01,0.002,0.011,0.003,0.006,0,0.011,0,0.017,0.004,0.012,0,0,0,0.004,0,0.015,0.001,0.001,0.015,0,0,0,0.002,0.002,0.004,0.01,0,0,0.019,0.051,0.012,0.001,0.016,0.034,0,0.016,0.001,0.001,0.006,0,0.027,0.004,0.01,0,0.003,0.017,0,0.002,0.001,0,0,0.001,0.011,0.007,0.017,0.008,0,0.005,0.002,0.009,0.011,0.007,0,0.003,0,0.012,0.001,0.006,0.002,0.007,0.002,0,0,0,0.013,0.006,0.001,0.003,0.004,0,0.022,0.011,0.006,0.008,0,0.002,0.001,0.006,0.04,0,0,0.005,0.003,0.05,0.007,0.002,0.005,0.002,0.01,0.002,0.003,0,0.015,0.007,0.001,0.002,0.002,0,0.002,0.022,0.002,0.008,0.005,0.004,0.059,0,0,0.009,0.009,0.023,0,0.001,0,0.004,0,0,0,0,0.004,0.005,0.014,0.003,0.003,0,0.017,0.004,0,0.007,0.002,0,0.003,0.019,0.009,0,0.008,0.008,0,0.001,0.001,0,0,0.001,0.006,0.004,0.004,0,0.008,0.01,0,0,0.001,0.006,0,0,0.002,0.028,0.001,0,0.029
8,0,0.003,0,0.006,0.001,0.016,0.001,0.001,0,0.001,0.003,0.001,0.001,0.009,0,0,0.009,0.015,0,0.004,0,0,0.006,0,0.003,0.01,0,0.043,0,0,0,0.002,0.004,0.029,0.006,0,0.01,0,0.011,0.011,0.025,0.005,0,0.009,0.028,0.017,0.015,0.002,0,0.012,0.001,0.009,0,0.003,0.005,0,0.014,0.001,0,0,0,0,0,0,0,0.031,0.007,0.003,0,0,0.02,0,0.002,0.002,0.021,0,0,0,0.004,0,0,0.041,0.012,0.006,0.002,0.002,0.004,0.01,0.002,0.012,0.01,0.001,0,0,0,0.015,0.004,0.002,0,0,0,0,0,0.003,0.002,0.001,0.003,0.005,0,0,0.012,0.006,0.008,0,0,0,0.004,0.004,0.012,0,0.006,0.006,0.002,0.017,0.01,0.005,0,0,0.019,0.002,0.014,0.007,0.01,0.001,0.011,0,0.013,0,0.012,0.005,0.01,0.002,0,0,0.001,0,0.018,0.001,0.001,0.016,0,0,0,0.004,0.004,0.006,0.015,0,0,0.019,0.06,0.012,0.003,0.014,0.033,0,0.011,0.008,0,0.011,0,0.033,0.008,0.014,0,0.005,0.038,0,0.005,0.006,0,0,0,0.008,0.008,0.026,0.01,0,0.008,0.002,0.014,0.008,0.011,0.003,0.002,0,0.01,0.001,0.01,0.005,0.006,0,0,0.004,0,0.016,0.007,0.001,0.004,0.003,0.003,0.026,0.013,0.005,0.003,0,0.003,0.001,0.006,0.035,0,0,0.005,0.006,0.068,0.009,0.003,0.005,0.003,0.014,0.003,0.004,0.002,0.018,0.006,0.002,0.001,0.001,0,0,0.028,0.005,0.016,0.006,0.004,0.082,0,0,0.009,0.013,0.025,0,0,0,0.005,0.001,0.001,0,0,0.004,0.006,0.012,0.003,0.003,0,0.018,0.004,0,0.008,0.002,0,0.002,0.022,0.008,0,0.014,0.009,0,0,0.003,0,0.004,0.003,0.013,0.011,0.003,0,0.012,0.018,0,0,0,0.007,0.002,0,0.004,0.036,0.001,0,0.027
9,0,0.002,0,0.004,0.004,0.014,0.001,0.003,0,0.002,0.004,0,0.002,0.015,0.001,0,0.008,0.013,0,0.006,0.001,0,0.007,0,0.004,0.007,0,0.048,0,0,0,0.003,0.007,0.03,0.01,0,0.014,0,0.013,0.017,0.03,0.003,0,0.012,0.037,0.029,0.02,0.006,0,0.011,0.001,0.01,0.002,0.002,0.004,0,0.012,0.002,0,0,0,0.002,0,0,0,0.038,0.011,0.002,0.001,0,0.025,0.001,0.004,0.002,0.018,0,0,0,0.005,0.003,0,0.031,0.018,0.005,0.002,0.002,0.011,0.01,0.006,0.011,0.009,0.005,0,0,0.001,0.013,0.004,0.003,0,0,0,0,0,0.006,0.006,0.003,0.001,0.007,0.001,0,0.021,0.006,0.015,0,0,0,0.008,0.004,0.016,0.002,0.008,0.005,0.002,0.011,0.011,0.007,0.001,0.004,0.02,0,0.017,0.013,0.011,0,0.021,0,0.02,0,0.01,0.007,0.012,0.003,0,0,0.001,0,0.016,0.002,0.003,0.018,0,0,0,0.004,0.001,0.006,0.014,0,0.001,0.015,0.067,0.016,0.003,0.012,0.049,0.001,0.016,0.011,0,0.018,0.001,0.043,0.013,0.009,0,0.003,0.056,0,0.002,0.009,0,0,0,0.012,0.008,0.026,0.013,0,0.008,0.002,0.015,0.006,0.013,0.002,0,0.001,0.012,0.002,0.012,0.007,0.004,0,0,0.003,0.003,0.02,0.005,0,0.006,0.003,0.002,0.025,0.01,0.005,0.004,0,0,0.003,0.004,0.042,0.001,0,0.004,0.004,0.096,0.011,0.003,0.005,0.002,0.015,0.002,0.007,0,0.022,0.007,0.007,0.001,0.002,0,0,0.037,0.005,0.019,0.009,0.004,0.11,0.005,0.001,0.009,0.019,0.027,0.001,0,0,0.002,0.004,0.005,0,0,0.006,0.005,0.018,0.005,0.004,0,0.019,0.001,0.001,0.008,0,0,0.003,0.027,0.01,0,0.019,0.017,0,0,0.006,0,0.007,0.005,0.015,0.008,0.005,0.002,0.013,0.022,0,0,0,0.004,0,0,0.006,0.043,0.001,0,0.04
