0,r,0.02,0.903,0.06,0,0.1,0,0.14,0,0.18,0,0.22,0,0.26,0,0.3,0,0.34,0,0.38,0,0.42,0,0.46,0,0.5,0,0.54,0,0.58,0,0.62,0,0.66,0,0.7,0,0.74,0,0.78,0,0.82,0,0.86,0,0.9,0,0.94,0,0.98,0,1.02,0.092,1.06,0,1.1,0,1.14,0,1.18,0,1.22,0,1.26,0,1.3,0,1.34,0,1.38,0,1.42,0,1.46,0,1.5,0,1.54,0,1.58,0,1.62,0,1.66,0,1.7,0,1.74,0,1.78,0,1.82,0,1.86,0,1.9,0,1.94,0,1.98,0.005
50,g,19.1,0.001,19.3,0,19.5,0,19.7,0,19.9,0.003,20.1,0,20.3,0,20.5,0,20.7,0,20.9,0.003,21.1,0,21.3,0,21.5,0,21.7,0,21.9,0.025,22.1,0,22.3,0,22.5,0,22.7,0,22.9,0,23.1,0.07,23.3,0,23.5,0,23.7,0,23.9,0,24.1,0.223,24.3,0,24.5,0,24.7,0,24.9,0.313,25.1,0,25.3,0,25.5,0,25.7,0,25.9,0.196,26.1,0,26.3,0,26.5,0,26.7,0,26.9,0,27.1,0.115,27.3,0,27.5,0,27.7,0,27.9,0,28.1,0.043,28.3,0,28.5,0,28.7,0,28.9,0.008
100,b,43.09,0.012,43.27,0,43.45,0,43.63,0,43.81,0,43.99,0.016,44.17,0,44.35,0,44.53,0,44.71,0,44.89,0,45.07,0.057,45.25,0,45.43,0,45.61,0,45.79,0,45.97,0.082,46.15,0,46.33,0,46.51,0,46.69,0,46.87,0,47.05,0.139,47.23,0,47.41,0,47.59,0,47.77,0,47.95,0.259,48.13,0,48.31,0,48.49,0,48.67,0,48.85,0,49.03,0.247,49.21,0,49.39,0,49.57,0,49.75,0,49.93,0.14,50.11,0,50.29,0,50.47,0,50.65,0,50.83,0,51.01,0.037,51.19,0,51.37,0,51.55,0,51.73,0,51.91,0.011
150,m,63.12,0.003,63.36,0,63.6,0,63.84,0,64.08,0.005,64.32,0,64.56,0,64.8,0,65.04,0.005,65.28,0,65.52,0,65.76,0,66,0.033,66.24,0,66.48,0,66.72,0,66.96,0.027,67.2,0,67.44,0,67.68,0,67.92,0.051,68.16,0,68.4,0,68.64,0,68.88,0,69.12,0.135,69.36,0,69.6,0,69.84,0,70.08,0.229,70.32,0,70.56,0,70.8,0,71.04,0.227,71.28,0,71.52,0,71.76,0,72,0.165,72.24,0,72.48,0,72.72,0,72.96,0.081,73.2,0,73.44,0,73.68,0,73.92,0.038,74.16,0,74.4,0,74.64,0,74.88,0.001
200,k,84.11,0.008,84.33,0,84.55,0,84.77,0,84.99,0.015,85.21,0,85.43,0,85.65,0,85.87,0,86.09,0.041,86.31,0,86.53,0,86.75,0,86.97,0.087,87.19,0,87.41,0,87.63,0,87.85,0,88.07,0.166,88.29,0,88.51,0,88.73,0,88.95,0.209,89.17,0,89.39,0,89.61,0,89.83,0,90.05,0.193,90.27,0,90.49,0,90.71,0,90.93,0.179,91.15,0,91.37,0,91.59,0,91.81,0,92.03,0.07,92.25,0,92.47,0,92.69,0,92.91,0.027,93.13,0,93.35,0,93.57,0,93.79,0,94.01,0.004,94.23,0,94.45,0,94.67,0,94.89,0.001
250,r,102.12,0.002,102.36,0,102.6,0,102.84,0,103.08,0.002,103.32,0,103.56,0,103.8,0,104.04,0.006,104.28,0,104.52,0,104.76,0,105,0.042,105.24,0,105.48,0,105.72,0,105.96,0.134,106.2,0,106.44,0,106.68,0,106.92,0.187,107.16,0,107.4,0,107.64,0,107.88,0,108.12,0.181,108.36,0,108.6,0,108.84,0,109.08,0.101,109.32,0,109.56,0,109.8,0,110.04,0.069,110.28,0,110.52,0,110.76,0,111,0.127,111.24,0,111.48,0,111.72,0,111.96,0.101,112.2,0,112.44,0,112.68,0,112.92,0.035,113.16,0,113.4,0,113.64,0,113.88,0.013
300,g,119.09,0.001,119.27,0,119.45,0,119.63,0,119.81,0,119.99,0.004,120.17,0,120.35,0,120.53,0,120.71,0,120.89,0,121.07,0.023,121.25,0,121.43,0,121.61,0,121.79,0,121.97,0.054,122.15,0,122.33,0,122.51,0,122.69,0,122.87,0,123.05,0.123,123.23,0,123.41,0,123.59,0,123.77,0,123.95,0.178,124.13,0,124.31,0,124.49,0,124.67,0,124.85,0,125.03,0.31,125.21,0,125.39,0,125.57,0,125.75,0,125.93,0.203,126.11,0,126.29,0,126.47,0,126.65,0,126.83,0,127.01,0.084,127.19,0,127.37,0,127.55,0,127.73,0,127.91,0.02
350,b,136.11,0.005,136.33,0,136.55,0,136.77,0,136.99,0.007,137.21,0,137.43,0,137.65,0,137.87,0,138.09,0.036,138.31,0,138.53,0,138.75,0,138.97,0.118,139.19,0,139.41,0,139.63,0,139.85,0,140.07,0.17,140.29,0,140.51,0,140.73,0,140.95,0.153,141.17,0,141.39,0,141.61,0,141.83,0,142.05,0.169,142.27,0,142.49,0,142.71,0,142.93,0.187,143.15,0,143.37,0,143.59,0,143.81,0,144.03,0.099,144.25,0,144.47,0,144.69,0,144.91,0.039,145.13,0,145.35,0,145.57,0,145.79,0,146.01,0.015,146.23,0,146.45,0,146.67,0,146.89,0.002
400,m,152.11,0.001,152.33,0,152.55,0,152.77,0,152.99,0.002,153.21,0,153.43,0,153.65,0,153.87,0,154.09,0.004,154.31,0,154.53,0,154.75,0,154.97,0.015,155.19,0,155.41,0,155.63,0,155.85,0,156.07,0.048,156.29,0,156.51,0,156.73,0,156.95,0.076,157.17,0,157.39,0,157.61,0,157.83,0,158.05,0.143,158.27,0,158.49,0,158.71,0,158.93,0.278,159.15,0,159.37,0,159.59,0,159.81,0,160.03,0.241,160.25,0,160.47,0,160.69,0,160.91,0.135,161.13,0,161.35,0,161.57,0,161.79,0,162.01,0.045,162.23,0,162.45,0,162.67,0,162.89,0.012
450,k,169.09,0.006,169.27,0,169.45,0,169.63,0,169.81,0,169.99,0.017,170.17,0,170.35,0,170.53,0,170.71,0,170.89,0,171.07,0.031,171.25,0,171.43,0,171.61,0,171.79,0,171.97,0.103,172.15,0,172.33,0,172.51,0,172.69,0,172.87,0,173.05,0.247,173.23,0,173.41,0,173.59,0,173.77,0,173.95,0.241,174.13,0,174.31,0,174.49,0,174.67,0,174.85,0,175.03,0.19,175.21,0,175.39,0,175.57,0,175.75,0,175.93,0.111,176.11,0,176.29,0,176.47,0,176.65,0,176.83,0,177.01,0.053,177.19,0,177.37,0,177.55,0,177.73,0,177.91,0.001
