Time,kav,Vark,fsurvive,C,Call,meanW
0,0.102,0.106764,0.097,0,0,0.0106
1,0.228,0.205399,0.197,0,0,0.0199
2,0.394,0.382284,0.316,0.01,0,0.0346
3,0.58,0.5456,0.424,0,0,0.052
4,0.846,0.768716,0.538,0.01,0,0.0722
5,1.161,1.15079,0.654,0,0,0.0953
6,1.42,1.55556,0.708,0.01,0,0.1271
7,1.665,1.88532,0.769,0,0,0.1526
8,1.989,2.16692,0.821,0.01,0,0.1774
9,2.397,2.52912,0.889,0.02,0,0.2109
10,2.846,2.79764,0.937,0.01,0,0.2519
11,3.364,2.99778,0.961,0.03,0,0.2965
12,3.81,3.48122,0.981,0.04,0,0.3472
13,4.307,3.8928,0.984,0.05,0,0.3899
14,4.844,4.32838,0.988,0.05,0,0.4425
15,5.462,5.05191,0.991,0.06,0,0.4967
16,6.243,5.42808,0.995,0.13,0,0.5589
17,6.975,5.3595,0.999,0.13,0,0.6364
18,7.502,5.24672,0.999,0.21,0,0.7091
19,8.114,5.09346,1,0.21,0,0.7612
20,8.755,5.1842,1,0.26,0,0.8214
21,9.272,4.98904,1,0.26,0,0.8842
22,9.96,4.41136,1,0.33,0,0.9371
23,10.582,4.28107,1,0.51,0,1.0077
24,11.094,4.21451,1,0.55,0,1.0683
25,11.621,4.11579,1,0.51,0,1.1203
26,12.184,3.82524,1,0.63,0,1.1734
27,12.541,3.74891,1,0.74,0,1.2283
28,13.114,3.90239,1,0.71,0,1.2647
29,13.572,3.8979,1,0.75,0,1.321
30,14.006,3.76772,1,0.83,0,1.3674
31,14.453,3.80068,1,0.84,0,1.4111
32,14.932,3.80964,1,0.87,0,1.4566
33,15.266,3.5027,1,0.84,0,1.5036
34,15.669,3.46536,1,0.95,0,1.5371
35,16.181,3.73706,1,0.89,0,1.5788
36,16.599,4.40906,1,0.91,0,1.6288
37,17.161,4.89063,1,0.9,0,1.6713
38,17.951,5.7165,1,0.9,0,1.7248
39,18.89,6.26686,1,0.95,0,1.8056
40,19.587,6.83883,1,0.95,0,1.8987
41,20.424,7.62119,1,0.97,0,1.9697
42,21.434,7.75916,1,0.97,0,2.0529
43,22.292,7.13383,1,1,0,2.1513
44,22.851,5.32484,1,0.99,0,2.2369
45,23.282,3.98152,1,0.99,0,2.2941
46,23.672,3.41862,1,1,0,2.3376
47,24.04,3.28472,1,1,0,2.3778
48,24.403,2.91326,1,1,0,2.4144
49,24.876,2.51532,1,1,1,2.4526
50,25.116,2.32806,1,1,1,2.4956
51,25.413,2.09456,1,1,1,2.5229
52,25.662,2.16368,1,1,1,2.5518
53,25.94,2.1271,1,1,1,2.577
54,26.286,2.20224,1,1,1,2.6042
55,26.597,2.20323,1,1,1,2.6387
56,26.928,2.37178,1,1,1,2.6685
57,27.274,2.5724,1,1,1,2.704
58,27.731,2.6696,1,1,1,2.738
59,28.108,2.89096,1,1,1,2.7821
60,28.609,2.78819,1,1,1,2.8197
61,28.924,2.7642,1,1,1,2.8714
62,29.241,2.77638,1,1,1,2.9025
63,29.684,2.80828,1,1,1,2.9346
64,30.092,2.89297,1,1,1,2.9805
65,30.37,3.3354,1,1,1,3.0186
66,30.862,3.38147,1,1,1,3.0477
67,31.32,3.28563,1,1,1,3.0963
68,31.781,3.5866,1,1,1,3.1414
69,32.346,4.119,1,1,1,3.1886
70,32.846,4.22324,1,1,1,3.2431
71,33.415,4.74251,1,1,1,3.2933
72,33.99,4.89996,1,1,1,3.3494
73,34.633,5.1824,1,1,1,3.4098
74,35.196,5.43263,1,1,1,3.4713
75,35.724,5.25916,1,1,1,3.5279
76,36.252,4.91914,1,1,1,3.5808
77,36.768,4.53704,1,1,1,3.6342
78,37.255,4.24677,1,1,1,3.6865
79,37.718,4.29068,1,1,1,3.7354
80,38.253,4.0372,1,1,1,3.7798
81,38.688,3.96144,1,1,1,3.8331
82,39.236,4.06791,1,1,1,3.8783
83,39.795,4.61514,1,1,1,3.9308
84,40.288,5.01676,1,1,1,3.9894
85,41.028,4.87584,1,1,1,4.0381
86,41.535,4.89762,1,1,1,4.1128
87,42.194,4.81562,1,1,1,4.1628
88,42.695,4.53756,1,1,1,4.2271
89,43.198,4.4039,1,1,1,4.279
90,43.823,4.4523,1,1,1,4.3264
91,44.271,3.98678,1,1,1,4.3904
92,44.73,4.0004,1,1,1,4.434
93,45.219,4.15044,1,1,1,4.4831
94,45.677,3.9652,1,1,1,4.5298
95,46.18,3.78948,1,1,1,4.5754
96,46.493,3.39398,1,1,1,4.6255
97,47.001,3.24354,1,1,1,4.6592
98,47.344,3.17224,1,1,1,4.7069
99,47.647,3.12467,1,1,1,4.7427
100,48.084,3.14892,1,1,1,4.7726
101,48.385,2.98568,1,1,1,4.8139
102,48.767,3.12116,1,1,1,4.8471
103,49.16,3.1741,1,1,1,4.8852
104,49.431,3.01147,1,1,1,4.9227
105,49.788,3.36737,1,1,1,4.9525
106,50.203,3.23184,1,1,1,4.9869
107,50.65,3.67982,1,1,1,5.0276
108,51.162,3.97136,1,1,1,5.0738
109,51.68,4.03218,1,1,1,5.1232
110,52.162,4.23999,1,1,1,5.1753
111,52.786,4.34695,1,1,1,5.2257
112,53.241,4.34326,1,1,1,5.2856
113,53.777,4.07358,1,1,1,5.3304
114,54.251,3.88772,1,1,1,5.3841
115,54.66,3.55776,1,1,1,5.4338
116,55.088,3.58848,1,1,1,5.4718
117,55.471,3.35551,1,1,1,5.5183
118,55.76,3.14891,1,1,1,5.5533
119,56.173,3.13908,1,1,1,5.5839
120,56.625,3.07683,1,1,1,5.6237
121,56.976,3.23066,1,1,1,5.6688
122,57.392,3.4444,1,1,1,5.704
123,57.691,3.48147,1,1,1,5.7477
124,58.069,3.576,1,1,1,5.7749
125,58.572,3.84454,1,1,1,5.8116
126,59.135,3.8535,1,1,1,5.865
127,59.772,3.62188,1,1,1,5.9239
128,60.126,3.20126,1,1,1,5.9856
129,60.528,2.9128,1,1,1,6.0198
130,60.843,2.596,1,1,1,6.06
131,61.141,2.44,1,1,1,6.09
132,61.476,2.48616,1,1,1,6.1221
133,61.743,2.3156,1,1,1,6.1549
134,62.18,2.4446,1,1,1,6.1799
135,62.582,2.58246,1,1,1,6.2256
136,62.881,2.8141,1,1,1,6.2648
137,63.23,2.93424,1,1,1,6.2958
138,63.637,3.44597,1,1,1,6.3305
139,64.038,3.73428,1,1,1,6.3689
140,64.505,4.20435,1,1,1,6.4093
141,65.103,4.9959,1,1,1,6.4564
142,65.85,5.67224,1,1,1,6.5181
143,66.717,6.34328,1,1,1,6.5939
144,67.378,6.40706,1,1,1,6.6788
145,68.004,5.9384,1,1,1,6.744
146,68.519,5.59816,1,1,1,6.8062
147,69.081,5.08324,1,1,1,6.8569
148,69.493,4.3735,1,1,1,6.9136
149,70.01,4.1395,1,1,1,6.955
150,70.431,3.94464,1,1,1,7.0058
151,70.845,3.6818,1,1,1,7.0486
152,71.166,3.38672,1,1,1,7.0909
153,71.584,3.30377,1,1,1,7.1235
154,71.959,3.16935,1,1,1,7.1657
155,72.306,3.1576,1,1,1,7.202
156,72.618,3.22031,1,1,1,7.2383
157,73.086,3.18667,1,1,1,7.2677
158,73.402,2.91959,1,1,1,7.3153
159,73.827,3.04164,1,1,1,7.3481
160,74.155,3.10254,1,1,1,7.3884
161,74.533,3.25038,1,1,1,7.4204
162,74.913,3.37311,1,1,1,7.4583
163,75.261,3.48715,1,1,1,7.4957
164,75.645,3.2356,1,1,1,7.532
165,75.936,3.10218,1,1,1,7.5732
166,76.279,3.402,1,1,1,7.6002
167,76.647,3.52011,1,1,1,7.6333
168,77.149,3.59106,1,1,1,7.6712
169,77.471,3.73297,1,1,1,7.7205
170,77.907,3.89198,1,1,1,7.7504
171,78.366,3.79963,1,1,1,7.7963
172,78.677,4.0344,1,1,1,7.8402
173,79.215,4.0185,1,1,1,7.8752
174,79.607,3.75392,1,1,1,7.9259
175,79.939,3.71144,1,1,1,7.9669
176,80.385,3.6419,1,1,1,7.999
177,80.946,3.63816,1,1,1,8.0438
178,81.274,3.46692,1,1,1,8.1009
179,81.668,3.4254,1,1,1,8.1314
180,82.039,3.5122,1,1,1,8.1714
181,82.457,3.1106,1,1,1,8.2086
182,82.736,3.07394,1,1,1,8.2508
183,83.031,3.03979,1,1,1,8.2797
184,83.481,3.2852,1,1,1,8.3099
185,83.847,3.12522,1,1,1,8.3528
186,84.195,3.27072,1,1,1,8.3909
187,84.563,3.12977,1,1,1,8.4235
188,84.96,3.33431,1,1,1,8.4617
189,85.32,3.12688,1,1,1,8.5011
