Time,Locus1,Locus2,Locus3,Locus4,Locus5,Locus6,Locus7,Locus8,Locus9,Locus10,Locus11,Locus12,Locus13,Locus14,Locus15,Locus16,Locus17,Locus18,Locus19,Locus20,Locus21,Locus22,Locus23,Locus24,Locus25,Locus26,Locus27,Locus28,Locus29,Locus30,Locus31,Locus32,Locus33,Locus34,Locus35,Locus36,Locus37,Locus38,Locus39,Locus40,Locus41,Locus42,Locus43,Locus44,Locus45,Locus46,Locus47,Locus48,Locus49,Locus50,Locus51,Locus52,Locus53,Locus54,Locus55,Locus56,Locus57,Locus58,Locus59,Locus60,Locus61,Locus62,Locus63,Locus64,Locus65,Locus66,Locus67,Locus68,Locus69,Locus70,Locus71,Locus72,Locus73,Locus74,Locus75,Locus76,Locus77,Locus78,Locus79,Locus80,Locus81,Locus82,Locus83,Locus84,Locus85,Locus86,Locus87,Locus88,Locus89,Locus90,Locus91,Locus92,Locus93,Locus94,Locus95,Locus96,Locus97,Locus98,Locus99,Locus100
0,0.003,0.002,0.002,0,0,0,0.001,0,0.002,0.001,0,0.004,0,0.002,0.002,0.003,0,0,0,0.002,0.002,0.001,0.002,0,0,0,0.001,0.001,0,0,0,0,0.002,0,0,0,0.001,0.001,0.001,0,0,0.002,0.002,0,0,0,0,0,0,0,0.003,0.001,0,0.003,0.001,0,0.001,0.002,0.003,0,0.002,0,0,0,0,0.001,0,0,0.001,0.003,0.001,0,0.003,0.001,0,0,0.003,0,0.001,0,0,0.001,0.001,0,0,0.004,0,0.002,0.001,0,0.003,0,0.001,0,0,0,0.001,0.002,0.002,0.004
1,0.006,0.002,0.002,0,0,0,0.009,0.005,0.002,0.002,0,0.009,0.001,0.003,0.005,0.007,0,0.003,0.002,0.005,0.005,0.003,0.002,0.001,0,0.001,0.002,0.005,0.001,0.001,0.001,0.003,0.005,0,0.001,0,0.007,0.005,0,0,0.002,0.005,0.001,0.003,0.002,0.001,0,0.004,0,0,0.003,0.004,0.001,0.002,0.002,0.005,0.002,0.003,0.006,0.002,0.003,0.002,0,0,0,0.004,0.004,0.005,0.001,0.007,0.001,0.002,0.003,0.001,0,0,0.003,0.001,0.001,0,0,0.001,0.001,0.001,0,0.002,0.002,0.001,0.003,0,0.007,0,0,0.001,0,0.003,0,0,0.003,0.009
2,0.004,0.005,0.006,0.006,0,0,0.013,0.006,0.004,0.002,0,0.01,0.001,0.006,0.007,0.013,0.001,0.002,0.004,0.007,0.004,0.002,0.005,0.001,0.001,0.002,0.004,0.005,0,0,0.001,0.002,0.008,0,0.002,0,0.008,0.01,0,0,0.002,0.008,0.002,0.003,0.007,0.003,0,0.01,0,0,0.004,0.003,0,0.005,0.003,0.011,0.008,0.004,0.008,0.001,0.008,0.002,0,0.002,0.002,0.008,0.008,0.004,0.004,0.01,0.002,0.002,0.008,0.002,0,0.001,0.002,0.003,0.002,0,0,0,0.004,0,0,0.002,0.001,0.002,0.005,0.001,0.008,0.005,0,0.001,0,0.004,0,0,0.004,0.009
3,0.008,0.006,0.01,0.007,0,0.001,0.02,0.008,0.005,0.003,0,0.011,0.006,0.008,0.008,0.018,0.001,0.007,0.007,0.005,0.004,0.004,0.007,0.001,0.004,0.006,0.004,0.004,0.001,0.003,0.002,0.012,0.001,0,0.002,0.001,0.002,0.008,0,0.001,0.001,0.011,0.002,0.01,0.012,0.009,0,0.007,0,0,0.009,0.009,0,0.009,0.004,0.009,0.01,0.008,0.007,0.002,0.014,0,0.002,0.005,0.001,0.012,0.008,0.009,0.006,0.01,0.004,0.003,0.011,0.004,0,0,0.002,0.011,0.004,0,0.002,0.002,0.004,0.008,0.001,0.003,0.001,0,0.005,0.002,0.012,0.006,0,0.001,0,0.006,0.002,0.003,0.005,0.014
4,0.007,0.009,0.009,0.006,0,0.003,0.021,0.006,0.004,0.001,0,0.013,0.013,0.009,0.011,0.027,0.001,0.007,0.005,0.005,0.007,0.003,0.006,0.002,0.006,0.01,0.01,0.002,0,0.004,0.003,0.011,0,0.001,0.003,0,0.001,0.005,0.003,0,0.003,0.014,0.003,0.014,0.021,0.009,0.008,0.006,0,0,0.005,0.016,0,0.015,0.006,0.008,0.016,0.008,0.003,0.001,0.021,0.003,0.006,0.001,0.001,0.014,0.009,0.009,0.015,0.017,0.008,0.005,0.014,0.004,0,0,0.004,0.008,0.006,0.001,0.003,0.001,0.005,0.011,0.003,0.002,0.002,0.004,0.012,0.004,0.014,0.007,0.001,0.002,0,0.008,0.007,0.004,0.003,0.02
5,0.007,0.015,0.014,0.01,0,0.007,0.042,0.009,0.004,0.002,0,0.018,0.015,0.019,0.025,0.022,0,0.008,0.006,0.004,0.009,0.002,0.008,0.006,0.011,0.014,0.01,0.002,0.002,0.001,0.005,0.017,0,0.003,0.007,0,0,0.013,0.004,0,0.008,0.019,0.009,0.011,0.028,0.01,0.011,0.01,0.002,0.004,0.003,0.023,0,0.011,0.006,0.01,0.02,0.015,0.006,0.002,0.019,0.004,0.014,0.006,0.002,0.021,0.005,0.02,0.022,0.016,0.015,0.016,0.018,0.003,0.001,0,0.004,0.012,0.006,0.003,0.01,0.003,0.005,0.009,0.002,0.007,0.002,0.005,0.022,0.005,0.015,0.005,0.001,0.005,0,0.005,0.008,0.01,0.004,0.018
6,0.011,0.016,0.019,0.013,0.002,0.006,0.058,0.01,0.004,0.002,0,0.02,0.023,0.032,0.048,0.024,0,0.005,0.008,0.007,0.008,0.002,0.013,0.004,0.011,0.021,0.007,0.005,0.008,0.006,0.004,0.024,0,0.007,0.008,0.002,0.001,0.017,0.004,0,0.013,0.027,0.006,0.019,0.042,0.012,0.01,0.01,0.002,0.008,0.003,0.028,0.002,0.007,0.007,0.011,0.025,0.024,0.006,0.003,0.022,0.007,0.021,0.006,0,0.025,0.007,0.023,0.035,0.023,0.009,0.016,0.017,0.006,0.003,0,0.004,0.012,0.01,0.005,0.008,0.002,0.005,0.009,0.002,0.007,0.001,0.006,0.024,0.011,0.016,0.002,0,0.003,0.002,0.007,0.007,0.013,0.008,0.021
7,0.018,0.012,0.023,0.017,0.001,0.007,0.043,0.023,0.005,0.007,0.001,0.028,0.024,0.026,0.038,0.03,0.002,0.007,0.013,0.011,0.011,0.002,0.016,0.004,0.017,0.037,0.007,0.005,0.01,0.004,0.001,0.039,0,0.002,0.014,0.002,0.002,0.026,0.007,0.003,0.011,0.047,0.012,0.016,0.036,0.013,0.014,0.016,0.005,0.01,0.003,0.028,0.006,0.007,0.006,0.015,0.024,0.039,0.008,0.006,0.03,0.004,0.018,0.007,0.002,0.027,0.008,0.03,0.027,0.028,0.012,0.023,0.026,0.007,0.003,0,0.003,0.016,0.021,0.007,0.008,0.003,0.008,0.015,0.002,0.01,0.001,0.008,0.032,0.011,0.016,0.003,0.001,0.002,0.005,0.009,0.012,0.018,0.01,0.012
8,0.031,0.013,0.028,0.024,0.001,0.014,0.049,0.02,0.005,0.007,0.002,0.028,0.037,0.037,0.052,0.04,0.005,0.008,0.012,0.018,0.014,0.002,0.023,0.005,0.013,0.061,0.01,0.009,0.017,0.007,0.001,0.055,0.002,0.01,0.013,0.002,0.002,0.035,0.008,0.007,0.012,0.067,0.007,0.022,0.03,0.018,0.012,0.021,0.007,0.005,0.008,0.032,0.005,0.009,0.008,0.019,0.026,0.061,0.011,0.008,0.033,0.006,0.025,0.01,0.003,0.03,0.005,0.027,0.024,0.032,0.012,0.027,0.027,0.013,0.008,0,0.003,0.018,0.032,0.005,0.009,0.004,0.01,0.028,0.008,0.01,0.002,0.006,0.032,0.019,0.019,0.009,0,0.004,0.01,0.014,0.013,0.019,0.012,0.013
9,0.031,0.015,0.043,0.03,0.003,0.01,0.058,0.025,0.012,0.01,0.004,0.031,0.046,0.05,0.073,0.047,0.004,0.007,0.019,0.02,0.024,0.003,0.037,0.011,0.019,0.08,0.008,0.01,0.019,0.015,0.001,0.077,0.006,0.011,0.016,0.005,0,0.057,0.008,0.007,0.02,0.09,0.012,0.025,0.026,0.022,0.022,0.022,0.01,0.006,0.006,0.035,0.008,0.002,0.01,0.024,0.032,0.086,0.016,0.008,0.049,0.007,0.039,0.014,0.002,0.024,0.006,0.026,0.032,0.037,0.015,0.035,0.039,0.017,0.011,0.002,0.003,0.023,0.029,0.008,0.012,0.002,0.014,0.029,0.015,0.015,0.002,0.008,0.041,0.033,0.02,0.009,0.001,0.004,0.006,0.02,0.015,0.028,0.015,0.013
