id,parent_id,depth,creation_step,i,r,is_infected
0,-1,0,0,0,0.529153,0
1,0,1,0,0,0,0
2,1,2,0,0,0,0
3,2,3,0,0,0,0
4,3,4,0,0,0,0
5,4,5,0,0,0,0
6,5,6,0,0,0,0
7,6,7,0,0,0,0
8,7,8,0,0,0,0
9,8,9,0,0,0,0
10,9,10,0,0,0,0
11,10,11,0,0,0,0
12,11,12,0,0,0,0
13,12,13,0,0,0,0
14,13,14,0,0,0.183463,0
15,14,15,1,0,0.0165227,0
16,14,15,2,0,0.0167025,0
17,15,16,17,0,0.000985456,0
18,16,16,21,0,0.00170724,0
19,16,16,25,0,0.00109452,0
20,15,16,33,0,0.0010727,0
21,18,17,61,0,0.00552114,0
22,19,17,71,0,0.00132343,0
23,18,17,76,0,0.00104835,0
24,20,17,79,0,0.000487736,0
25,17,17,80,0,0.000276563,0
26,19,17,80,0,0.000185301,0
27,20,17,85,0,0.000571782,0
28,21,18,96,0,0.0280103,0
29,17,17,98,0,0.000544709,0
30,21,18,113,0,0.0131619,0
31,22,18,148,0,0.00499102,0
32,22,18,184,0,5.81825e-05,0
33,23,18,194,0,7.52956e-05,0
34,27,18,203,0,3.47447e-05,0
35,29,18,205,0,0.00177177,0
36,23,18,208,0,8.17335e-05,0
37,28,19,208,0,0.0472941,0
38,28,19,209,0,0.0219603,0
39,29,18,209,0,0.000538873,0
40,24,18,217,0,2.58753e-05,0
41,27,18,228,0,1.40806e-05,0
42,24,18,237,0,0.000157095,0
43,30,19,240,0,0.003134,0
44,30,19,246,0,0.0112211,0
45,25,18,254,0,1.83256e-05,0
46,31,19,271,0,0.00141361,0
47,37,20,275,2.53634e-07,0.0249654,1
48,31,19,276,0,0.00109649,0
49,35,19,282,0,0.00017104,0
50,37,20,282,2.79803e-07,0.0276959,1
51,38,20,287,0,0.00384456,0
52,26,18,288,0,1.05422e-07,0
53,35,19,294,0,0.00027587,0
54,44,20,301,0,0.00118958,0
55,44,20,303,0,0.00314518,0
56,25,18,304,0,4.08781e-05,0
57,38,20,306,0,0.00145662,0
58,26,18,310,0,4.79045e-08,0
59,39,19,311,0,9.12606e-06,0
60,47,21,323,5.11674e-06,0.00408159,1
61,47,21,324,3.19342e-06,0.00246929,1
62,39,19,326,0,6.50897e-05,0
