step,depth,i
1,14,0.0001
2,14,0.000106855
2,15,3e-08
3,14,0.000114159
3,15,1.1e-07
4,14,0.000121911
4,15,2.4e-07
5,14,0.000130172
5,15,4.05568e-07
6,14,0.000139026
6,15,5.32693e-07
7,14,0.000148543
7,15,6.11433e-07
8,14,0.000158676
8,15,7.27353e-07
9,14,0.000169457
9,15,8.9384e-07
10,14,0.000180968
10,15,1.0755e-06
11,14,0.000193248
11,15,1.28371e-06
12,14,0.000206368
12,15,1.50085e-06
13,14,0.000220362
13,15,1.74772e-06
14,14,0.000235287
14,15,2.02699e-06
15,14,0.000251205
15,15,2.34157e-06
16,14,0.000268189
16,15,2.68463e-06
17,14,0.000286299
17,15,3.0687e-06
18,14,0.000305605
18,15,3.48743e-06
18,16,1e-08
19,14,0.000326185
19,15,3.95389e-06
19,16,1e-08
20,14,0.00034812
20,15,4.4723e-06
20,16,2e-08
21,14,0.000371483
21,15,5.06725e-06
21,16,1e-08
22,14,0.000396375
22,15,5.71553e-06
22,16,1e-08
23,14,0.00042289
23,15,6.44177e-06
23,16,2e-08
24,14,0.000451118
24,15,7.25283e-06
24,16,2e-08
25,14,0.000481174
25,15,8.14609e-06
25,16,2e-08
26,14,0.000513156
26,15,9.11867e-06
26,16,6e-08
27,14,0.000547191
27,15,1.02073e-05
27,16,4e-08
28,14,0.000583389
28,15,1.14121e-05
28,16,4e-08
29,14,0.000621876
29,15,1.2743e-05
29,16,2e-08
30,14,0.000662783
30,15,1.42005e-05
30,16,2e-08
31,14,0.000706248
31,15,1.58155e-05
31,16,3e-08
32,14,0.000752402
32,15,1.7581e-05
32,16,3e-08
33,14,0.000801402
33,15,1.95195e-05
33,16,4e-08
34,14,0.000853391
34,15,2.16553e-05
34,16,9e-08
35,14,0.000908536
35,15,2.40046e-05
35,16,1.3e-07
36,14,0.000966988
36,15,2.65845e-05
36,16,1.2e-07
37,14,0.00102891
37,15,2.94137e-05
37,16,1.30909e-07
38,14,0.00109447
38,15,3.25019e-05
38,16,1.62976e-07
39,14,0.00116383
39,15,3.58993e-05
39,16,1.77404e-07
40,14,0.00123717
40,15,3.96199e-05
40,16,1.93349e-07
41,14,0.00131465
41,15,4.36884e-05
41,16,2.20963e-07
42,14,0.00139645
42,15,4.8121e-05
42,16,2.51485e-07
43,14,0.00148274
43,15,5.29546e-05
43,16,2.8413e-07
44,14,0.00157367
44,15,5.82181e-05
44,16,2.89102e-07
45,14,0.0016694
45,15,6.39422e-05
45,16,3.57687e-07
46,14,0.00177009
46,15,7.01688e-05
46,16,4.29169e-07
47,14,0.00187588
47,15,7.69322e-05
47,16,4.43818e-07
48,14,0.0019869
48,15,8.4278e-05
48,16,5.41923e-07
49,14,0.00210326
49,15,9.22438e-05
49,16,6.33796e-07
50,14,0.00222505
50,15,0.000100868
50,16,7.09769e-07
51,14,0.00235234
51,15,0.000110172
51,16,8.80495e-07
52,14,0.00248519
52,15,0.000120223
52,16,9.84437e-07
53,14,0.0026236
53,15,0.000131073
53,16,1.14938e-06
54,14,0.00276757
54,15,0.000142766
54,16,1.29725e-06
55,14,0.00291703
55,15,0.000155313
55,16,1.48809e-06
56,14,0.00307189
56,15,0.000168734
56,16,1.74581e-06
57,14,0.003232
57,15,0.000183147
57,16,1.9976e-06
58,14,0.00339719
58,15,0.000198612
58,16,2.22236e-06
59,14,0.00356719
59,15,0.00021502
59,16,2.56689e-06
60,14,0.00374169
60,15,0.000232528
60,16,2.9221e-06
61,14,0.00392032
61,15,0.000251116
61,16,3.33814e-06
62,14,0.00410263
62,15,0.00027085
62,16,3.7698e-06
62,17,1e-08
63,14,0.00428811
63,15,0.000291669
63,16,4.32738e-06
63,17,2e-08
64,14,0.00447617
64,15,0.000313644
64,16,4.94111e-06
64,17,4e-08
65,14,0.00466617
65,15,0.000336809
65,16,5.58442e-06
65,17,5e-08
66,14,0.00485734
66,15,0.000361224
66,16,6.20807e-06
66,17,9e-08
67,14,0.00504889
67,15,0.000386784
67,16,6.9083e-06
67,17,1.4e-07
68,14,0.00523993
68,15,0.000413446
68,16,7.68957e-06
68,17,1.6497e-07
69,14,0.00542951
69,15,0.000441205
69,16,8.55628e-06
69,17,1.82378e-07
70,14,0.00561661
70,15,0.000470006
70,16,9.50269e-06
70,17,2.0136e-07
71,14,0.00580017
71,15,0.000499801
71,16,1.05221e-05
71,17,2.22016e-07
72,14,0.00597906
72,15,0.00053052
72,16,1.16067e-05
72,17,2.54447e-07
73,14,0.00615214
73,15,0.00056207
73,16,1.27876e-05
73,17,2.68755e-07
74,14,0.00631821
74,15,0.000594341
74,16,1.40478e-05
74,17,3.05038e-07
75,14,0.00647609
75,15,0.000627223
75,16,1.54084e-05
75,17,3.34357e-07
76,14,0.0066246
76,15,0.000660591
76,16,1.68514e-05
76,17,3.65915e-07
77,14,0.00676257
77,15,0.000694307
77,16,1.83668e-05
77,17,4.09807e-07
78,14,0.00688886
78,15,0.000728212
78,16,1.99836e-05
78,17,4.56116e-07
79,14,0.00700241
79,15,0.000762127
79,16,2.16818e-05
79,17,4.94923e-07
80,14,0.00710223
80,15,0.000795882
80,16,2.34596e-05
80,17,5.56297e-07
81,14,0.0071874
81,15,0.000829303
81,16,2.53045e-05
81,17,6.40298e-07
82,14,0.00725713
82,15,0.000862196
82,16,2.72529e-05
82,17,6.98643e-07
83,14,0.00731073
83,15,0.00089437
83,16,2.92825e-05
83,17,7.898e-07
84,14,0.00734768
84,15,0.000925638
84,16,3.13695e-05
84,17,8.53797e-07
85,14,0.00736756
85,15,0.000955798
85,16,3.35381e-05
85,17,9.30647e-07
86,14,0.00737015
86,15,0.000984672
86,16,3.57335e-05
86,17,1.10035e-06
87,14,0.00735536
87,15,0.00101208
87,16,3.7998e-05
87,17,1.18319e-06
88,14,0.00732328
88,15,0.00103784
88,16,4.03256e-05
88,17,1.26002e-06
89,14,0.00727414
89,15,0.00106181
89,16,4.26801e-05
89,17,1.31011e-06
90,14,0.00720835
